fg3a_per_fga_pct,Yyy,vorp,ws_per_48,pos,player,team_id,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,Xxx,per,orb_pct,dws,season,usg_pct,link,ast_pct,obpm,fta_per_fga_pct,bpm,g,age,dbpm,pseudo,mp,trb_pct,ws
.297,,0.9,.095,SG,Marcus Thornton,TOT,1.9,9.5,.525,1.9,13.3,0.4,,16.5,4.0,1.6,10/11,24.9,t/thornma01.html,13.2,1.2,.228,0.0,73,23,-1.2,thornma01,1775,8.6,3.5
.278,,-0.2,.057,SG,Marcus Thornton,NOH,0.0,9.2,.494,1.4,17.4,0.4,,14.0,4.1,0.9,10/11,25.6,t/thornma01.html,10.3,-1.5,.198,-3.1,46,23,-1.6,thornma01,745,10.7,0.9
.311,,1.1,.123,SG,Marcus Thornton,SAC,1.9,9.6,.547,2.2,10.3,0.4,,18.2,3.9,0.8,10/11,24.4,t/thornma01.html,15.3,3.1,.249,2.2,27,23,-0.9,thornma01,1030,7.0,2.6
.367,,0.8,.115,SF,Anthony Tolliver,MIN,2.6,11.7,.585,1.0,17.0,1.6,,13.3,7.3,0.7,10/11,13.1,t/tollian01.html,8.9,0.5,.419,0.4,65,25,-0.1,tollian01,1362,12.0,3.3
.000,,1.2,.134,C,Ronny Turiaf,NYK,2.1,16.6,.648,1.5,14.4,4.7,,13.6,6.4,1.1,10/11,9.6,t/turiaro01.html,11.5,-0.5,.601,2.0,64,28,2.5,turiaro01,1141,10.4,3.2
.429,,3.0,.129,SF-PF,Hedo Turkoglu,TOT,3.4,14.3,.555,1.5,14.0,1.0,,13.4,2.1,3.4,10/11,16.7,t/turkohe01.html,21.5,1.1,.216,2.7,81,31,1.5,turkohe01,2540,8.2,6.8
.503,,0.6,.092,PF,Hedo Turkoglu,PHO,0.8,12.9,.567,1.5,14.7,1.6,,13.1,3.7,0.4,10/11,17.2,t/turkohe01.html,13.7,1.3,.187,1.8,25,31,0.5,turkohe01,630,9.2,1.2
.403,,2.4,.142,SF,Hedo Turkoglu,ORL,2.7,14.8,.550,1.5,13.8,0.8,,13.6,1.6,3.0,10/11,16.6,t/turkohe01.html,24.0,1.1,.227,3.0,56,31,1.9,turkohe01,1910,7.8,5.6
.083,,-0.2,.060,SG,Evan Turner,PHI,0.0,12.0,.484,1.4,16.9,0.6,,10.8,2.7,2.2,10/11,17.0,t/turneev01.html,13.4,-3.1,.236,-2.4,78,22,0.7,turneev01,1797,9.8,2.3
.000,,0.0,.032,C,Ekpe Udoh,GSW,0.0,16.1,.472,1.1,11.4,6.4,,9.7,8.6,0.7,10/11,12.8,u/udohek01.html,5.4,-4.1,.288,-2.0,58,23,2.2,udohek01,1030,10.0,0.7
.381,,0.0,.008,SF,Ime Udoka,SAS,-0.2,16.9,.285,3.2,12.2,0.5,,5.3,4.6,0.2,10/11,10.4,u/udokaim01.html,13.2,-4.5,.381,-2.0,20,33,2.5,udokaim01,130,8.5,0.0
.221,,2.1,.126,PG,Beno Udrih,SAC,5.6,13.2,.587,1.7,9.6,0.2,,15.7,1.7,1.6,10/11,16.9,u/udrihbe01.html,22.1,1.8,.277,1.0,79,28,-0.8,udrihbe01,2734,5.5,7.2
.056,,0.0,.054,PG,Ben Uzoh,NJN,0.2,12.9,.468,1.6,8.6,1.4,,14.7,7.9,0.2,10/11,20.5,u/uzohbe01.html,26.7,-0.9,.389,-1.7,42,22,-0.8,uzohbe01,438,8.2,0.5
.009,,0.7,.105,C,Anderson Varejao,CLE,1.3,13.7,.560,1.4,24.1,2.9,,15.2,11.0,0.9,10/11,13.3,v/varejan01.html,7.4,-1.2,.375,0.8,31,28,2.1,varejan01,994,17.4,2.2
.369,,-0.6,.030,SG,Greivis Vasquez,MEM,-0.1,21.7,.493,1.3,8.6,0.4,,9.4,1.7,0.7,10/11,16.9,v/vasqugr01.html,25.3,-2.3,.189,-4.6,70,24,-2.2,vasqugr01,860,5.1,0.5
.456,,0.1,.091,PF,Charlie Villanueva,DET,2.1,8.0,.553,1.4,18.8,2.0,,15.9,3.5,1.0,10/11,23.1,v/villach01.html,5.0,0.9,.164,-1.8,76,26,-2.7,villach01,1666,10.8,3.1
.440,,0.6,.061,SG,Sasha Vujacic,TOT,1.1,9.4,.515,1.7,11.5,0.2,,12.3,2.1,1.0,10/11,19.8,v/vujacsa01.html,13.7,0.6,.161,-0.5,67,26,-1.1,vujacsa01,1648,6.7,2.1
.304,,-0.1,-0.082,SG,Sasha Vujacic,LAL,-0.1,17.3,.419,1.0,6.1,0.0,,3.4,2.2,0.0,10/11,24.4,v/vujacsa01.html,14.5,-6.3,.087,-10.1,11,26,-3.8,vujacsa01,54,4.2,-0.1
