fg2a,fg_pct,fg2,fg3,team_name,pts,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,fg,orb,fga,g,stl,trb,fg2_pct,mp,drb
5259,.442,2460,516,Charlotte Bobcats*,7942,1010,2000,1493,421,.737,1471,1474,1778,13/14,.351,2976,776,6730,82,499,3500,.468,19905,2724
5031,.449,2399,550,Indiana Pacers*,7933,1237,1907,1675,446,.779,1542,1485,1651,13/14,.357,2949,834,6573,82,550,3665,.477,19780,2831
5188,.445,2459,563,Orlando Magic,7914,1222,1714,1678,350,.763,1596,1307,1726,13/14,.353,3022,794,6784,82,630,3448,.474,19955,2654
5154,.435,2421,575,Boston Celtics,7892,1261,1706,1743,343,.777,1729,1325,1726,13/14,.333,2996,980,6883,82,584,3485,.470,19730,2505
5576,.464,2717,405,Memphis Grizzlies*,7884,1124,1666,1568,375,.741,1147,1235,1792,13/14,.353,3122,950,6723,82,631,3476,.487,19805,2526
5184,.438,2404,548,Milwaukee Bucks,7829,1238,1843,1713,403,.747,1553,1377,1760,13/14,.353,2952,971,6737,82,541,3370,.464,19880,2399
5075,.444,2408,543,Utah Jazz,7791,1200,1803,1699,366,.747,1577,1346,1664,13/14,.344,2951,904,6652,82,570,3381,.474,19780,2477
5118,.432,2335,508,Chicago Bulls*,7680,1223,1908,1565,424,.779,1459,1486,1860,13/14,.348,2843,937,6577,82,594,3620,.456,19930,2683
4920,.478,2527,883,Golden State Warriors*,9016,1185,1709,1628,496,.768,2217,1313,2248,14/15,.398,3410,853,7137,82,762,3667,.514,19730,2814
4628,.473,2401,827,Los Angeles Clippers*,8751,1012,2067,1749,409,.710,2202,1468,2031,14/15,.376,3228,784,6830,82,640,3495,.519,19730,2711
4954,.463,2523,732,Dallas Mavericks*,8628,1062,1843,1644,371,.752,2082,1386,1846,14/15,.352,3255,858,7036,82,663,3466,.509,19880,2608
4769,.455,2382,726,Toronto Raptors*,8527,1057,2014,1712,357,.787,2060,1585,1701,14/15,.352,3108,881,6829,82,615,3407,.499,19855,2526
5255,.447,2552,632,Oklahoma City Thunder,8524,1205,2020,1829,454,.754,1864,1524,1681,14/15,.339,3184,1052,7119,82,598,3896,.486,19830,2844
4152,.444,2099,933,Houston Rockets*,8522,1366,2133,1803,407,.715,2680,1525,1820,14/15,.348,3032,958,6832,82,777,3582,.506,19805,2624
5007,.468,2531,677,San Antonio Spurs*,8461,1146,1754,1564,444,.780,1847,1368,2000,14/15,.367,3208,806,6854,82,657,3578,.505,19955,2772
4486,.458,2263,826,Cleveland Cavaliers*,8457,1171,1934,1510,340,.751,2253,1453,1814,14/15,.367,3089,911,6739,82,603,3523,.504,19780,2612
4818,.450,2368,807,Portland Trail Blazers*,8429,1117,1589,1494,372,.801,2231,1272,1799,14/15,.362,3175,879,7049,82,525,3760,.491,19855,2881
4547,.466,2303,818,Atlanta Hawks*,8409,1167,1735,1457,380,.778,2152,1349,2111,14/15,.380,3121,715,6699,82,744,3326,.506,19730,2611
4990,.452,2480,698,Phoenix Suns,8397,1238,1767,1744,385,.760,2048,1343,1659,14/15,.341,3178,896,7038,82,700,3539,.497,19880,2643
5126,.433,2439,660,Denver Nuggets,8320,1166,1991,1882,367,.734,2032,1462,1788,14/15,.325,3099,1012,7158,82,641,3665,.476,19880,2653
5190,.443,2533,660,Boston Celtics*,8312,1133,1678,1738,294,.754,2021,1266,2009,14/15,.327,3193,910,7211,82,674,3595,.488,19880,2685
5267,.455,2549,461,Sacramento Kings,8310,1333,2400,1696,324,.762,1350,1829,1667,14/15,.341,3010,895,6617,82,550,3623,.484,19855,2728
4972,.442,2356,645,Chicago Bulls*,8265,1145,2067,1495,476,.783,1825,1618,1781,14/15,.353,3001,959,6797,82,514,3751,.474,19880,2792
5212,.457,2522,586,New Orleans Pelicans*,8147,1087,1790,1530,510,.751,1583,1345,1806,14/15,.370,3108,942,6795,82,553,3563,.484,19780,2621
5409,.462,2642,497,Washington Wizards*,8080,1233,1758,1707,378,.742,1381,1305,1969,14/15,.360,3139,862,6790,82,601,3663,.488,19955,2801
4995,.432,2338,703,Detroit Pistons,8077,1099,1838,1559,383,.703,2043,1292,1771,14/15,.344,3041,1051,7038,82,623,3681,.468,19830,2630
5474,.435,2522,532,Los Angeles Lakers,8073,1086,1935,1741,366,.741,1546,1433,1715,14/15,.344,3054,952,7020,82,578,3599,.461,19930,2647
5517,.458,2674,423,Memphis Grizzlies*,8062,1094,1869,1567,347,.773,1246,1445,1777,14/15,.339,3097,856,6763,82,700,3490,.485,19905,2634
5171,.451,2528,541,Brooklyn Nets*,8038,1133,1817,1579,340,.748,1633,1359,1716,14/15,.331,3069,846,6804,82,576,3473,.489,19930,2627
5222,.459,2538,545,Milwaukee Bucks*,8023,1373,1734,1814,403,.757,1500,1312,1932,14/15,.363,3083,876,6722,82,789,3450,.486,19930,2574
5597,.438,2580,406,Minnesota Timberwolves,8016,1231,2110,1571,327,.776,1223,1638,1771,14/15,.332,2986,949,6820,82,668,3355,.461,19805,2406
5084,.439,2386,612,Indiana Pacers,7981,1147,1817,1742,375,.756,1740,1373,1757,14/15,.352,2998,856,6824,82,505,3678,.469,19855,2822
5194,.453,2522,554,Orlando Magic,7847,1221,1565,1714,314,.729,1598,1141,1692,14/15,.347,3076,822,6792,82,647,3429,.486,19755,2607
4711,.447,2290,610,Utah Jazz,7801,1256,1929,1583,489,.721,1781,1391,1632,14/15,.343,2900,988,6492,82,623,3605,.486,19705,2617
4671,.456,2329,556,Miami Heat,7764,1214,1940,1636,372,.741,1659,1438,1626,14/15,.335,2885,747,6330,82,642,3208,.499,19730,2461
5366,.420,2415,498,Charlotte Hornets,7721,976,1867,1494,448,.748,1566,1397,1654,14/15,.318,2913,820,6932,82,499,3613,.450,19905,2793
4617,.408,2073,692,Philadelphia 76ers,7542,1453,1953,1778,487,.676,2160,1320,1683,14/15,.320,2765,978,6777,82,789,3514,.449,19805,2536
5112,.428,2322,560,New York Knicks,7535,1206,1575,1768,382,.769,1614,1211,1746,14/15,.347,2882,867,6726,82,575,3310,.454,19855,2443
