fg2a,fg_pct,fg2,fg3,team_name,pts,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,fg,orb,fga,g,stl,trb,fg2_pct,mp,drb
5020,.446,2408,571,Toronto Raptors,7971,1124,1831,1836,392,.788,1665,1442,1765,12/13,.343,2979,871,6685,82,595,3297,.480,19980,2426
4784,.450,2314,628,Brooklyn Nets*,7944,1206,1958,1500,391,.731,1760,1432,1668,12/13,.357,2942,1047,6544,82,599,3507,.484,19855,2460
5320,.434,2446,547,Cleveland Cavaliers,7913,1149,1826,1737,334,.756,1581,1380,1694,12/13,.346,2993,1004,6901,82,647,3363,.460,19730,2359
5227,.439,2493,450,Minnesota Timberwolves,7851,1214,2042,1509,387,.742,1475,1515,1836,12/13,.305,2943,973,6702,82,700,3446,.477,19730,2473
5069,.465,2503,498,Boston Celtics*,7818,1181,1698,1717,365,.776,1390,1318,1843,12/13,.358,3001,654,6459,81,667,3187,.494,19840,2533
5462,.443,2581,480,Phoenix Suns,7805,1278,1618,1688,434,.744,1455,1203,1855,12/13,.330,3061,959,6917,82,659,3413,.473,19805,2454
5198,.449,2466,513,Detroit Pistons,7778,1241,1870,1623,400,.699,1440,1307,1742,12/13,.356,2979,991,6638,82,574,3454,.474,19805,2463
5367,.448,2587,506,Orlando Magic,7718,1191,1359,1591,358,.755,1537,1026,1871,12/13,.329,3093,890,6904,82,528,3502,.482,19780,2612
5115,.448,2420,535,New Orleans Hornets,7714,1193,1636,1673,440,.776,1474,1269,1721,12/13,.363,2955,988,6589,82,520,3414,.473,19780,2426
4926,.436,2290,555,Indiana Pacers*,7674,1227,1915,1623,513,.746,1599,1429,1645,12/13,.347,2845,1043,6525,81,580,3714,.465,19590,2671
5250,.425,2354,469,Charlotte Bobcats,7661,1153,2060,1561,479,.750,1399,1546,1587,12/13,.335,2823,917,6649,82,591,3306,.448,19805,2389
5572,.444,2582,382,Memphis Grizzlies*,7659,1144,1746,1660,436,.773,1107,1349,1715,12/13,.345,2964,1059,6679,82,703,3504,.463,19805,2445
5198,.435,2365,545,Washington Wizards,7644,1238,1746,1681,376,.733,1495,1279,1775,12/13,.365,2910,887,6693,82,598,3539,.455,19855,2652
5433,.437,2480,446,Chicago Bulls*,7641,1171,1738,1617,417,.773,1265,1343,1886,12/13,.353,2926,1026,6698,82,588,3540,.456,19830,2514
5457,.444,2541,518,Philadelphia 76ers,7640,1070,1377,1505,384,.729,1438,1004,1867,12/13,.360,3059,896,6895,82,609,3389,.466,19755,2493
4795,.474,2515,693,Los Angeles Clippers*,8850,1136,2384,1767,397,.730,1966,1741,2016,13/14,.352,3208,858,6761,82,703,3526,.525,19755,2668
4424,.472,2339,779,Houston Rockets*,8829,1323,2549,1676,461,.712,2179,1814,1755,13/14,.358,3118,920,6603,82,621,3717,.529,19830,2797
5418,.444,2589,600,Minnesota Timberwolves,8768,1142,2301,1504,297,.778,1757,1790,1963,13/14,.341,3189,1024,7175,82,718,3668,.478,19855,2644
5063,.450,2437,770,Portland Trail Blazers*,8753,1125,1926,1576,387,.815,2071,1569,1904,13/14,.372,3207,1022,7134,82,454,3808,.481,19855,2786
4943,.471,2530,664,Oklahoma City Thunder*,8705,1256,2052,1858,501,.806,1839,1653,1794,13/14,.361,3194,887,6782,82,678,3668,.512,19805,2781
5087,.486,2628,698,San Antonio Spurs*,8639,1180,1642,1495,420,.785,1757,1289,2064,13/14,.397,3326,762,6844,82,604,3548,.517,19755,2786
4790,.463,2407,765,Phoenix Suns,8629,1258,2004,1798,374,.758,2055,1520,1563,13/14,.372,3172,928,6845,82,688,3529,.503,19755,2601
4981,.474,2528,721,Dallas Mavericks*,8597,1110,1733,1636,356,.795,1877,1378,1935,13/14,.384,3249,840,6858,82,704,3354,.508,19830,2514
5083,.447,2445,702,Denver Nuggets,8559,1305,2154,1890,459,.726,1959,1563,1838,13/14,.358,3147,1009,7042,82,615,3726,.481,19755,2717
4968,.462,2462,774,Golden State Warriors*,8549,1247,1731,1784,407,.753,2037,1303,1912,13/14,.380,3236,896,7005,82,642,3715,.496,19830,2819
4948,.450,2365,774,Los Angeles Lakers,8442,1239,1835,1627,446,.757,2032,1390,2006,13/14,.381,3139,745,6980,82,611,3365,.478,19705,2620
4443,.501,2477,665,Miami Heat*,8380,1212,1884,1596,367,.760,1829,1431,1847,13/14,.364,3142,627,6272,82,732,3024,.558,19880,2397
4801,.445,2279,713,Toronto Raptors*,8305,1159,2055,1882,343,.782,1917,1608,1737,13/14,.372,2992,935,6718,82,577,3487,.475,19955,2552
5544,.447,2675,507,Detroit Pistons,8286,1193,2111,1666,395,.670,1580,1415,1714,13/14,.321,3182,1196,7124,82,687,3721,.483,19780,2525
4572,.458,2293,768,Atlanta Hawks*,8282,1251,1782,1577,326,.781,2116,1392,2041,13/14,.363,3061,713,6688,82,680,3278,.502,19830,2565
5216,.459,2530,647,Washington Wizards*,8254,1204,1715,1675,377,.731,1704,1253,1909,13/14,.380,3177,886,6920,82,668,3459,.485,20055,2573
5291,.447,2535,491,Sacramento Kings,8241,1249,2237,1849,318,.759,1475,1698,1547,13/14,.333,3026,990,6766,82,587,3646,.479,19830,2656
5458,.459,2615,486,New Orleans Pelicans,8177,1129,1936,1857,523,.769,1303,1489,1745,13/14,.373,3101,933,6761,82,647,3419,.479,19855,2486
5303,.435,2531,577,Philadelphia 76ers,8155,1384,1918,1844,330,.710,1847,1362,1791,13/14,.312,3108,949,7150,82,765,3505,.477,19855,2556
4701,.449,2268,759,New York Knicks,8084,1063,1670,1815,367,.761,2038,1271,1641,13/14,.372,3027,870,6739,82,631,3307,.482,19855,2437
4469,.459,2222,709,Brooklyn Nets*,8079,1191,2002,1777,311,.753,1922,1508,1714,13/14,.369,2931,721,6391,82,705,3128,.497,19880,2407
5315,.437,2452,584,Cleveland Cavaliers,8054,1163,1861,1640,304,.751,1640,1398,1738,13/14,.356,3036,989,6955,82,579,3618,.461,19930,2629
