fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb
631,49,.503,PF,322,15,Shareef Abdur-Rahim,POR,909,.514,117,254,150,26,.866,39,220,111,04/05,.385,a/abdursh01.html,337,123,670,54,49,28,392,abdursh01,.510,1867,269
30,1,.327,SG,8,8,Cory Alexander,CHA,49,.408,19,12,29,1,.750,19,9,37,04/05,.421,a/alexaco01.html,16,8,49,16,9,31,29,alexaco01,.267,201,21
177,1,.475,PF,84,0,Malik Allen,TOT,194,.475,18,28,53,22,.929,0,26,18,04/05,,a/allenma01.html,84,40,177,36,9,26,99,allenma01,.475,519,59
76,0,.461,PF,35,0,Malik Allen,MIA,83,.461,11,14,29,11,.929,0,13,11,04/05,,a/allenma01.html,35,24,76,14,4,26,52,allenma01,.461,248,28
101,1,.485,PF,49,0,Malik Allen,CHA,111,.485,7,14,24,11,.929,0,13,7,04/05,,a/allenma01.html,49,16,101,22,5,26,47,allenma01,.485,271,31
938,78,.428,SG,431,209,Ray Allen,SEA,1867,.498,171,428,167,5,.883,556,378,289,04/05,.376,a/allenra02.html,640,79,1494,78,84,29,347,allenra02,.459,3064,268
356,34,.475,SG,172,12,Tony Allen,BOS,492,.491,77,152,156,24,.737,31,112,64,04/05,.387,a/allento01.html,184,85,387,77,76,23,221,allento01,.483,1262,136
585,78,.414,PG,264,139,Rafer Alston,TOR,1136,.485,170,258,212,7,.740,389,191,514,04/05,.357,a/alstora01.html,403,42,974,80,118,28,279,alstora01,.451,2717,237
355,2,.534,C,191,0,Chris Andersen,NOH,513,.534,64,190,144,100,.689,3,131,71,04/05,.000,a/anderch01.html,191,137,358,67,14,26,410,anderch01,.538,1430,273
240,32,.389,SG,94,58,Derek Anderson,POR,432,.463,70,87,89,4,.805,151,70,143,04/05,.384,a/anderde01.html,152,25,391,47,36,30,128,anderde01,.392,1239,103
188,20,.423,PG,79,6,Kenny Anderson,TOT,203,.438,49,37,87,0,.730,13,27,103,04/05,.462,a/anderke01.html,85,24,201,43,33,34,88,anderke01,.420,743,64
177,20,.426,PG,75,6,Kenny Anderson,ATL,195,.442,46,37,81,0,.730,13,27,98,04/05,.462,a/anderke01.html,81,23,190,39,33,34,83,anderke01,.424,717,60
11,0,.364,PG,4,0,Kenny Anderson,LAC,8,.364,3,0,6,0,,0,0,5,04/05,,a/anderke01.html,4,1,11,4,0,34,5,anderke01,.364,26,4
188,5,.452,SF-SG,93,5,Shandon Anderson,TOT,255,.463,50,66,138,14,.818,29,54,70,04/05,.172,a/andersh01.html,98,41,217,66,40,31,191,andersh01,.495,1171,150
1,0,.000,SG,0,0,Shandon Anderson,NYK,0,.000,1,0,2,0,,1,0,0,04/05,.000,a/andersh01.html,0,1,2,1,0,31,1,andersh01,.000,20,0
187,5,.456,SF,93,5,Shandon Anderson,MIA,255,.467,49,66,136,14,.818,28,54,70,04/05,.179,a/andersh01.html,98,40,215,65,40,31,190,andersh01,.497,1151,150
1072,75,.431,SF,488,42,Carmelo Anthony,DEN,1558,.448,224,573,229,30,.796,158,456,194,04/05,.266,a/anthoca01.html,530,141,1230,75,68,20,426,anthoca01,.455,2608,285
172,41,.434,C,75,1,Rafael Araujo,TOR,196,.437,52,55,157,8,.782,3,43,16,04/05,.333,a/araujra01.html,76,59,175,59,21,24,185,araujra01,.436,736,126
961,80,.431,PG,451,205,Gilbert Arenas,WAS,2038,.498,242,640,245,23,.814,562,521,411,04/05,.365,a/arenagi01.html,656,83,1523,80,139,23,378,arenagi01,.469,3274,295
376,12,.442,SF,169,3,Trevor Ariza,NYK,468,.446,73,174,150,18,.695,13,121,85,04/05,.231,a/arizatr01.html,172,89,389,80,70,19,242,arizatr01,.449,1382,153
166,16,.321,PG,61,28,Darrell Armstrong,TOT,264,.372,67,68,92,8,.853,111,58,178,04/05,.252,a/armstda01.html,89,35,277,66,45,36,115,armstda01,.367,988,80
89,9,.333,PG,36,17,Darrell Armstrong,NOH,142,.387,28,21,30,2,.905,70,19,65,04/05,.243,a/armstda01.html,53,16,159,14,15,36,48,armstda01,.404,412,32
77,7,.305,PG,25,11,Darrell Armstrong,DAL,122,.352,39,47,62,6,.830,41,39,113,04/05,.268,a/armstda01.html,36,19,118,52,30,36,67,armstda01,.325,576,48
399,16,.389,PG,159,8,Carlos Arroyo,TOT,461,.399,107,149,143,4,.799,30,119,280,04/05,.267,a/arroyca01.html,167,26,429,70,44,25,104,arroyca01,.398,1448,78
214,16,.401,PG,86,7,Carlos Arroyo,UTA,246,.416,55,63,67,3,.841,18,53,152,04/05,.389,a/arroyca01.html,93,11,232,30,20,25,46,arroyca01,.402,742,35
185,0,.376,PG,73,1,Carlos Arroyo,DET,215,.378,52,86,76,1,.767,12,66,128,04/05,.083,a/arroyca01.html,74,15,197,40,24,25,58,arroyca01,.395,706,43
455,82,.426,PG,212,176,Chucky Atkins,LAL,1115,.523,151,203,181,2,.803,455,163,358,04/05,.387,a/atkinch01.html,388,31,910,82,73,30,197,atkinch01,.466,2903,166
167,7,.407,SF,68,0,Stacey Augmon,ORL,193,.407,31,77,83,8,.740,0,57,36,04/05,,a/augmost01.html,68,45,167,55,23,36,99,augmost01,.407,663,54
1,0,.000,PG,0,0,Maurice Baker,TOT,0,.000,1,0,3,0,,0,0,1,04/05,,b/bakerma01.html,0,1,1,5,1,25,2,bakerma01,.000,19,1
0,0,,PG,0,0,Maurice Baker,LAC,0,,0,0,0,0,,0,0,0,04/05,,b/bakerma01.html,0,0,0,1,0,25,0,bakerma01,,1,0
1,0,.000,PG,0,0,Maurice Baker,POR,0,.000,1,0,3,0,,0,0,1,04/05,,b/bakerma01.html,0,1,1,4,1,25,2,bakerma01,.000,18,1
41,0,.310,PF-C,13,0,Vin Baker,TOT,35,.310,17,17,38,4,.529,1,9,10,04/05,.000,b/bakervi01.html,13,17,42,27,2,33,39,bakervi01,.317,204,22
37,0,.342,PF,13,0,Vin Baker,NYK,33,.342,15,15,31,4,.467,1,7,9,04/05,.000,b/bakervi01.html,13,17,38,24,2,33,37,bakervi01,.351,191,20
4,0,.000,C,0,0,Vin Baker,HOU,2,.000,2,2,7,0,1.000,0,2,1,04/05,,b/bakervi01.html,0,0,4,3,0,33,2,bakervi01,.000,13,2
227,2,.402,PG,94,21,Marcus Banks,BOS,372,.439,79,163,146,13,.742,59,121,155,04/05,.356,b/banksma01.html,115,29,286,81,63,23,126,banksma01,.414,1145,97
215,6,.475,PG,117,51,Leandro Barbosa,PHO,442,.547,87,69,127,7,.797,139,55,126,04/05,.367,b/barbole01.html,168,32,354,63,30,22,130,barbole01,.544,1087,98
129,9,.411,SF,57,5,Matt Barnes,SAC,164,.427,45,58,80,7,.603,22,35,57,04/05,.227,b/barnema02.html,62,49,151,43,30,24,133,barnema02,.442,715,84
72,1,.363,PG,31,14,Andre Barrett,TOT,118,.419,27,19,51,1,.737,52,14,69,04/05,.269,b/barrean01.html,45,11,124,38,19,22,40,barrean01,.431,483,29
32,0,.290,PG,11,9,Andre Barrett,HOU,56,.355,16,10,35,0,.700,37,7,42,04/05,.243,b/barrean01.html,20,5,69,27,14,22,19,barrean01,.344,314,14
40,1,.455,PG,20,5,Andre Barrett,ORL,62,.500,11,9,16,1,.778,15,7,27,04/05,.333,b/barrean01.html,25,6,55,11,5,22,21,barrean01,.500,169,15
179,8,.423,SG,94,100,Brent Barry,SAS,601,.532,64,135,123,20,.837,280,113,178,04/05,.357,b/barrybr01.html,194,29,459,81,39,33,190,barrybr01,.525,1742,161
203,2,.438,SG,90,71,Jon Barry,TOT,455,.534,67,71,95,9,.873,165,62,167,04/05,.430,b/barryjo01.html,161,26,368,69,60,35,159,barryjo01,.443,1505,133
45,0,.403,SG,20,11,Jon Barry,ATL,83,.474,14,13,28,2,.769,32,10,28,04/05,.344,b/barryjo01.html,31,4,77,16,14,35,21,barryjo01,.444,275,17
158,2,.447,SG,70,60,Jon Barry,HOU,372,.550,53,58,67,7,.897,133,52,139,04/05,.451,b/barryjo01.html,130,22,291,53,46,35,138,barryjo01,.443,1230,116
348,32,.460,C,163,0,Tony Battie,ORL,394,.460,81,94,244,81,.723,6,68,42,04/05,.000,b/battito01.html,163,109,354,81,30,28,452,battito01,.468,1894,343
436,72,.442,SG,201,70,Shane Battier,MEM,792,.499,75,228,201,77,.789,177,180,126,04/05,.395,b/battish01.html,271,158,613,80,91,26,413,battish01,.461,2516,255
11,0,.273,PF,3,0,Lonny Baxter,NOH,6,.273,4,2,10,0,.000,0,0,0,04/05,,b/baxtelo01.html,3,4,11,4,0,26,8,baxtelo01,.273,36,4
533,32,.454,SG,249,54,Raja Bell,UTA,772,.495,79,150,205,8,.747,134,112,91,04/05,.403,b/bellra01.html,303,48,667,63,44,28,201,bellra01,.467,1790,153
35,0,.400,SF,15,1,Jonathan Bender,IND,36,.413,10,6,9,2,.500,5,3,4,04/05,.200,b/bendejo01.html,16,5,40,7,1,24,14,bendejo01,.429,93,9
367,6,.420,PG,164,26,Travis Best,NJN,514,.449,67,122,148,9,.885,85,108,143,04/05,.306,b/besttr01.html,190,19,452,76,66,32,107,besttr01,.447,1461,88
900,80,.443,PG,429,131,Mike Bibby,SAC,1571,.495,203,413,191,30,.775,364,320,541,04/05,.360,b/bibbymi01.html,560,77,1264,80,124,26,332,bibbymi01,.477,3084,255
77,1,.577,C,45,0,Andris Biedrins,GSW,109,.577,12,40,87,24,.475,1,19,12,04/05,.000,b/biedran01.html,45,47,78,30,12,18,118,biedran01,.584,384,71
526,80,.442,PG,239,165,Chauncey Billups,DET,1316,.533,180,382,194,9,.898,387,343,464,04/05,.426,b/billuch01.html,404,48,913,80,81,28,271,billuch01,.454,2866,223
93,1,.328,PG,25,36,Steve Blake,WAS,191,.425,39,41,47,0,.805,93,33,69,04/05,.387,b/blakest01.html,61,18,186,44,13,24,71,blakest01,.269,648,53
617,57,.529,C,327,0,Mark Blount,BOS,771,.529,158,164,229,64,.713,1,117,129,04/05,.000,b/blounma01.html,327,143,618,82,33,29,397,blounma01,.530,2130,254
3,0,.400,SG,1,1,Tony Bobbitt,LAL,5,.500,0,0,1,0,,2,0,0,04/05,.500,b/bobbito01.html,2,0,5,2,0,25,3,bobbito01,.333,12,3
515,42,.381,SG,205,57,Keith Bogans,CHA,714,.422,122,183,167,8,.727,173,133,135,04/05,.329,b/boganke01.html,262,76,688,74,68,24,226,boganke01,.398,1791,150
371,0,.533,C,208,39,Matt Bonner,TOR,589,.576,40,71,220,19,.789,92,56,48,04/05,.424,b/bonnema01.html,247,108,463,82,39,24,285,bonnema01,.561,1553,177
107,1,.454,C,49,0,Calvin Booth,TOT,124,.454,16,32,78,28,.813,1,26,8,04/05,.000,b/boothca01.html,49,29,108,51,15,28,107,boothca01,.458,451,78
78,1,.430,C,34,0,Calvin Booth,DAL,82,.430,8,16,55,16,.875,1,14,4,04/05,.000,b/boothca01.html,34,16,79,34,11,28,58,boothca01,.436,262,42
29,0,.517,C,15,0,Calvin Booth,MIL,42,.517,8,16,23,12,.750,0,12,4,04/05,,b/boothca01.html,15,13,29,17,4,28,49,boothca01,.517,189,36
692,51,.521,PF,361,0,Carlos Boozer,UTA,909,.521,137,268,179,24,.698,1,187,144,04/05,.000,b/boozeca01.html,361,141,693,51,41,23,457,boozeca01,.522,1772,316
172,23,.430,C,74,0,Curtis Borchardt,UTA,200,.430,52,71,160,32,.732,0,52,49,04/05,,b/borchcu01.html,74,86,172,67,10,24,224,borchcu01,.430,859,138
995,81,.471,PF,470,3,Chris Bosh,TOR,1361,.472,187,542,226,113,.760,10,412,153,04/05,.300,b/boshch01.html,473,194,1005,81,76,20,718,boshch01,.472,3017,524
345,82,.420,SF,149,102,Bruce Bowen,SAS,675,.505,57,112,175,39,.634,253,71,126,04/05,.403,b/bowenbr01.html,251,50,598,82,55,33,285,bowenbr01,.432,2627,235
105,6,.423,SF,44,3,Ryan Bowen,HOU,111,.437,7,21,61,5,.667,6,14,18,04/05,.500,b/bowenry01.html,47,21,111,66,23,29,76,bowenry01,.419,604,55
658,5,.413,PG,284,56,Earl Boykins,DEN,1015,.447,121,303,122,12,.921,166,279,372,04/05,.337,b/boykiea01.html,340,37,824,82,78,28,143,boykiea01,.432,2162,106
23,0,.625,PF,15,0,Michael Bradley,TOT,33,.625,5,8,12,2,.375,1,3,5,04/05,.000,b/bradlmi01.html,15,8,24,18,1,25,28,bradlmi01,.652,119,20
7,0,.429,PF,3,0,Michael Bradley,ORL,6,.429,1,0,4,2,,0,0,2,04/05,,b/bradlmi01.html,3,3,7,8,1,25,14,bradlmi01,.429,55,11
12,0,.667,PF,8,0,Michael Bradley,SAC,18,.667,3,6,8,0,.333,0,2,2,04/05,,b/bradlmi01.html,8,5,12,8,0,25,11,bradlmi01,.667,48,6
4,0,.800,PF,4,0,Michael Bradley,PHI,9,.800,1,2,0,0,.500,1,1,1,04/05,.000,b/bradlmi01.html,4,0,5,2,0,25,3,bradlmi01,1.000,16,3
186,14,.452,C,84,0,Shawn Bradley,DAL,211,.452,33,63,153,63,.683,0,43,15,04/05,,b/bradlsh01.html,84,70,186,77,25,32,214,bradlsh01,.452,885,144
7,0,.429,PF,3,0,Torraye Braggs,HOU,6,.429,2,0,4,0,,0,0,0,04/05,,b/braggto01.html,3,7,7,7,0,28,12,braggto01,.429,24,5
1248,81,.503,PF,629,0,Elton Brand,LAC,1622,.503,183,484,240,169,.752,3,364,208,04/05,.000,b/brandel01.html,629,296,1251,81,62,25,770,brandel01,.504,3001,474
22,0,.297,PG,8,3,Jamison Brewer,NYK,31,.338,13,13,11,1,.462,15,6,12,04/05,.200,b/breweja01.html,11,6,37,18,8,24,22,breweja01,.364,185,16
756,72,.512,C,387,0,Primoz Brezec,CHA,938,.512,106,220,183,55,.745,0,164,86,04/05,,b/brezepr01.html,387,226,756,72,33,25,531,brezepr01,.512,2276,305
51,0,.371,SF,19,4,Damone Brown,WAS,54,.403,15,9,17,6,.444,11,4,14,04/05,.364,b/brownda02.html,23,10,62,14,1,25,28,brownda02,.373,152,18
288,0,.423,SG,128,45,Devin Brown,SAS,494,.478,53,130,83,12,.792,121,103,92,04/05,.372,b/brownde02.html,173,37,409,67,39,26,176,brownde02,.444,1238,139
3,0,.333,SF,2,0,Kedrick Brown,PHI,12,.333,5,10,4,1,.800,3,8,4,04/05,.000,b/brownke01.html,2,1,6,8,3,23,11,brownke01,.667,55,10
237,14,.460,PF,109,0,Kwame Brown,WAS,292,.460,67,129,112,15,.574,0,74,39,04/05,,b/brownkw01.html,109,72,237,42,25,22,206,brownkw01,.460,908,134
758,78,.446,PF,338,0,P.J. Brown,NOH,886,.446,101,243,233,50,.864,0,210,178,04/05,,b/brownpj01.html,338,266,758,82,74,35,737,brownpj01,.446,2817,471
276,0,.356,PG,98,26,Tierre Brown,LAL,333,.394,74,75,59,1,.787,72,59,155,04/05,.361,b/brownti01.html,124,21,348,76,32,25,93,brownti01,.355,1066,72
312,39,.376,PG,118,48,Rick Brunson,LAC,437,.430,125,74,106,7,.770,130,57,410,04/05,.369,b/brunsri01.html,166,23,442,80,82,32,187,brunsri01,.378,1945,164
937,66,.433,SG,442,131,Kobe Bryant,LAL,1819,.482,270,664,174,53,.816,387,542,398,04/05,.339,b/bryanko01.html,573,95,1324,66,86,26,392,bryanko01,.472,2689,297
182,41,.528,SG,111,49,Greg Buckner,DEN,432,.609,49,81,169,6,.778,121,63,133,04/05,.405,b/buckngr01.html,160,66,303,70,75,28,208,buckngr01,.610,1522,142
381,17,.382,SF,153,34,Rodney Buford,NJN,445,.417,35,45,101,4,.822,108,37,63,04/05,.315,b/buforro01.html,187,33,489,64,40,27,189,buforro01,.402,1313,156
49,0,.467,PG,25,3,Antonio Burks,MEM,73,.492,12,19,25,1,.737,11,14,28,04/05,.273,b/burksan01.html,28,1,60,24,13,24,12,burksan01,.510,219,11
866,77,.445,SF,403,38,Caron Butler,LAL,1195,.464,125,319,213,23,.862,125,275,146,04/05,.304,b/butleca01.html,441,146,991,77,110,24,450,butleca01,.465,2746,304
4,0,1.000,C,4,0,Jackie Butler,NYK,10,1.000,1,2,0,0,1.000,0,2,0,04/05,,b/butleja01.html,4,0,4,3,1,19,0,butleja01,1.000,5,0
256,15,.399,SF,106,57,Rasual Butler,MIA,420,.468,37,48,104,29,.771,153,37,62,04/05,.373,b/butlera01.html,163,15,409,65,18,25,151,butlera01,.414,1203,136
141,0,.486,PF,73,13,Zarko Cabarkapa,TOT,238,.523,30,65,59,5,.815,36,53,25,04/05,.361,c/cabarza01.html,86,35,177,40,10,23,102,cabarza01,.518,475,67
7,0,.571,PF,4,0,Zarko Cabarkapa,PHO,9,.571,0,1,0,0,1.000,0,1,0,04/05,,c/cabarza01.html,4,2,7,3,0,23,3,cabarza01,.571,11,1
134,0,.482,PF,69,13,Zarko Cabarkapa,GSW,229,.521,30,64,59,5,.813,36,52,25,04/05,.361,c/cabarza01.html,82,33,170,37,10,23,99,cabarza01,.515,464,66
596,66,.465,C,279,0,Marcus Camby,DEN,683,.465,103,173,177,199,.723,4,125,152,04/05,.000,c/cambyma01.html,279,131,600,66,61,30,661,cambyma01,.468,2015,530
121,1,.317,C,39,0,Elden Campbell,TOT,120,.317,29,55,57,7,.764,2,42,19,04/05,.000,c/campbel01.html,39,28,123,40,8,36,93,campbel01,.322,390,65
7,0,.000,C,0,0,Elden Campbell,NJN,2,.000,1,4,10,1,.500,0,2,3,04/05,,c/campbel01.html,0,3,7,10,0,36,11,campbel01,.000,50,8
114,1,.336,C,39,0,Elden Campbell,DET,118,.336,28,51,47,6,.784,2,40,16,04/05,.000,c/campbel01.html,39,25,116,30,8,36,82,campbel01,.342,340,57
307,16,.370,PF,116,44,Brian Cardinal,MEM,522,.421,83,181,172,19,.873,125,158,114,04/05,.352,c/cardibr01.html,160,63,432,58,88,27,225,cardibr01,.378,1433,162
3,0,.667,SG,2,0,Geno Carlisle,POR,8,.667,1,6,1,0,.667,0,4,1,04/05,,c/carlige01.html,2,1,3,6,0,28,1,carlige01,.667,16,0
141,0,.389,SG,57,13,Matt Carroll,CHA,224,.425,25,83,37,2,.855,39,71,17,04/05,.333,c/carroma01.html,70,13,180,25,17,24,60,carroma01,.404,430,47
160,12,.407,PG,70,2,Anthony Carter,MIN,181,.412,62,51,88,18,.686,17,35,161,04/05,.118,c/cartean01.html,72,12,177,66,35,29,69,cartean01,.438,742,57
1228,76,.452,SF-SG,569,127,Vince Carter,TOT,1886,.493,168,460,243,48,.798,313,367,327,04/05,.406,c/cartevi01.html,696,106,1541,77,109,28,401,cartevi01,.463,2828,295
243,20,.411,SG,105,19,Vince Carter,TOR,317,.442,22,72,56,15,.694,59,50,61,04/05,.322,c/cartevi01.html,124,28,302,20,25,28,66,cartevi01,.432,608,38
985,56,.462,SF,464,108,Vince Carter,NJN,1569,.505,146,388,187,33,.817,254,317,266,04/05,.425,c/cartevi01.html,572,78,1239,57,84,28,335,cartevi01,.471,2220,257
584,38,.464,PG,292,27,Sam Cassell,MIN,799,.484,109,155,160,14,.865,103,134,301,04/05,.262,c/cassesa01.html,319,25,687,59,36,35,157,cassesa01,.500,1522,132
297,50,.539,C,160,0,Kelvin Cato,ORL,432,.539,64,143,170,82,.783,0,112,40,04/05,,c/catoke01.html,160,102,297,62,55,30,416,catoke01,.539,1525,314
76,0,.336,PG,30,12,Lionel Chalmers,LAC,111,.384,24,24,30,0,.625,49,15,51,04/05,.245,c/chalmli01.html,42,4,125,36,13,24,31,chalmli01,.395,433,27
417,10,.494,C,207,0,Tyson Chandler,CHI,640,.494,118,336,268,141,.673,2,226,65,04/05,.000,c/chandty01.html,207,261,419,80,69,22,775,chandty01,.496,2189,514
262,5,.426,SG,113,0,Calbert Cheaney,GSW,250,.426,35,37,95,15,.649,3,24,64,04/05,.000,c/cheanca01.html,113,32,265,55,17,33,124,cheanca01,.431,951,92
586,44,.470,SG,289,13,Josh Childress,ATL,807,.481,106,231,184,35,.823,56,190,151,04/05,.232,c/childjo01.html,302,195,642,80,74,21,482,childjo01,.493,2376,287
270,44,.392,SG,115,15,Doug Christie,TOT,345,.414,104,78,106,18,.897,62,70,199,04/05,.242,c/chrisdo01.html,130,38,332,52,80,34,177,chrisdo01,.426,1525,139
165,31,.407,SG,73,10,Doug Christie,SAC,226,.431,68,56,61,13,.893,39,50,153,04/05,.256,c/chrisdo01.html,83,29,204,31,43,34,123,chrisdo01,.442,996,94
105,13,.367,SG,42,5,Doug Christie,ORL,119,.387,36,22,45,5,.909,23,20,46,04/05,.217,c/chrisdo01.html,47,9,128,21,37,34,54,chrisdo01,.400,529,45
550,47,.421,PG,246,11,Speedy Claxton,TOT,712,.430,119,254,184,8,.736,61,187,374,04/05,.180,c/claxtsp01.html,257,37,611,62,109,26,184,claxtsp01,.447,1866,147
449,44,.431,PG,206,10,Speedy Claxton,GSW,604,.441,92,213,154,6,.761,52,162,286,04/05,.192,c/claxtsp01.html,216,32,501,46,87,26,153,claxtsp01,.459,1501,121
101,3,.373,PG,40,1,Speedy Claxton,NOH,108,.377,27,41,30,2,.610,9,25,88,04/05,.111,c/claxtsp01.html,41,5,110,16,22,26,31,claxtsp01,.396,365,26
12,0,.357,PG,5,0,Mateen Cleaves,SEA,13,.357,2,4,2,0,.750,2,3,7,04/05,.000,c/cleavma01.html,5,2,14,14,2,27,6,cleavma01,.417,65,4
12,0,.214,C,3,0,Derrick Coleman,DET,9,.214,2,3,6,0,1.000,2,3,0,04/05,.000,c/colemde01.html,3,3,14,5,0,37,15,colemde01,.250,50,12
362,44,.463,C,168,6,Jason Collier,ATL,402,.471,63,71,147,13,.676,14,48,18,04/05,.429,c/collija02.html,174,84,376,70,15,27,184,collija02,.464,942,100
156,38,.414,C,65,0,Jarron Collins,UTA,213,.414,34,119,146,6,.697,1,83,61,04/05,.000,c/collija03.html,65,57,157,50,11,26,164,collija03,.417,961,107
445,80,.412,C,184,2,Jason Collins,NJN,511,.415,91,209,322,71,.656,6,137,105,04/05,.333,c/collija04.html,186,153,451,80,71,26,488,collija04,.413,2542,335
351,4,.537,C,190,0,Nick Collison,SEA,463,.537,62,118,252,50,.703,3,83,32,04/05,.000,c/collini01.html,190,156,354,82,34,24,376,collini01,.541,1396,220
223,0,.417,C,98,78,Brian Cook,LAL,458,.509,29,37,139,26,.757,199,28,35,04/05,.392,c/cookbr01.html,176,63,422,72,23,24,216,cookbr01,.439,1087,153
20,0,.417,PG,10,0,Omar Cook,TOR,23,.417,6,6,6,1,.500,4,3,22,04/05,.000,c/cookom01.html,10,2,24,5,6,23,7,cookom01,.500,74,5
585,67,.398,SG,252,185,Jamal Crawford,NYK,1241,.483,148,216,135,19,.843,512,182,302,04/05,.361,c/crawfja01.html,437,33,1097,70,92,24,203,crawfja01,.431,2688,170
323,22,.378,PF,143,45,Austin Croshere,IND,647,.424,104,256,154,17,.883,174,226,98,04/05,.259,c/croshau01.html,188,103,497,73,48,29,375,croshau01,.443,1827,272
730,60,.538,C,393,0,Eddy Curry,CHI,1012,.538,163,314,202,58,.720,0,226,37,04/05,,c/curryed01.html,393,116,730,63,21,22,338,curryed01,.538,1808,222
29,7,.448,SF,13,0,Michael Curry,IND,30,.448,5,8,39,4,.500,0,4,15,04/05,,c/currymi01.html,13,8,29,18,5,36,27,currymi01,.448,249,19
477,60,.524,C,250,0,Samuel Dalembert,PHI,589,.524,114,148,241,121,.601,0,89,35,04/05,,d/dalemsa01.html,250,187,477,72,46,23,542,dalemsa01,.524,1785,355
364,56,.550,C,202,0,Erick Dampier,DAL,542,.550,102,228,205,80,.605,3,138,51,04/05,.000,d/dampier01.html,202,183,367,59,15,29,501,dampier01,.555,1609,318
458,2,.438,PG,224,49,Antonio Daniels,SEA,843,.478,78,304,78,3,.816,165,248,309,04/05,.297,d/daniean01.html,273,20,623,75,51,29,169,daniean01,.489,2026,149
16,0,.333,SF,5,1,Erik Daniels,SAC,13,.361,6,0,7,0,,2,0,4,04/05,.500,d/danieer01.html,6,7,18,21,2,22,18,danieer01,.313,72,11
469,17,.437,SG,213,7,Marquis Daniels,DAL,545,.443,86,133,124,14,.737,35,98,128,04/05,.200,d/daniema01.html,220,87,504,60,83,24,216,daniema01,.454,1412,129
419,62,.461,PF,193,0,Antonio Davis,CHI,501,.461,96,152,147,41,.757,0,115,80,04/05,,d/davisan01.html,193,152,419,72,27,36,428,davisan01,.461,1843,276
398,32,.387,PG,173,118,Baron Davis,TOT,885,.465,131,243,126,14,.761,354,185,362,04/05,.333,d/davisba01.html,291,32,752,46,81,25,175,davisba01,.435,1581,143
166,13,.366,PG,67,44,Baron Davis,NOH,340,.439,38,96,52,4,.771,137,74,129,04/05,.321,d/davisba01.html,111,16,303,18,31,25,67,davisba01,.404,593,51
232,19,.401,PG,106,74,Baron Davis,GSW,545,.483,93,147,74,10,.755,217,111,233,04/05,.341,d/davisba01.html,180,16,449,28,50,25,108,davisba01,.457,988,92
234,28,.479,C,112,0,Dale Davis,TOT,284,.479,43,99,162,65,.606,0,60,47,04/05,,d/davisda01.html,112,152,234,61,32,35,375,davisda01,.479,1307,223
109,3,.413,C,45,0,Dale Davis,GSW,112,.413,20,38,79,32,.579,0,22,23,04/05,,d/davisda01.html,45,61,109,36,13,35,153,davisda01,.413,577,92
125,25,.536,C,67,0,Dale Davis,IND,172,.536,23,61,83,33,.623,0,38,24,04/05,,d/davisda01.html,67,91,125,25,19,35,222,davisda01,.536,730,131
58,5,.378,PF,23,19,Josh Davis,PHI,117,.464,15,17,45,4,.824,53,14,12,04/05,.358,d/davisjo02.html,42,29,111,42,8,24,79,davisjo02,.397,328,50
861,11,.462,SG,420,61,Ricky Davis,BOS,1309,.491,205,351,174,27,.815,180,286,246,04/05,.339,d/davisri01.html,481,66,1041,82,89,25,249,davisri01,.488,2696,183
9,0,.444,C,4,0,Andrew DeClercq,ORL,9,.444,1,3,14,0,.333,0,1,0,04/05,,d/declean01.html,4,7,9,8,2,31,10,declean01,.444,49,3
82,4,.359,SG,33,9,Carlos Delfino,DET,116,.397,23,40,44,6,.575,35,23,38,04/05,.257,d/delfica01.html,42,13,117,30,22,22,55,delfica01,.402,459,42
389,1,.416,SG,174,72,Tony Delk,ATL,667,.477,54,136,123,3,.757,202,103,104,04/05,.356,d/delkto01.html,246,28,591,56,47,31,130,delkto01,.447,1340,102
528,45,.434,SF,249,31,Luol Deng,CHI,711,.458,118,162,98,27,.741,117,120,135,04/05,.265,d/denglu01.html,280,92,645,61,48,19,322,denglu01,.472,1663,230
244,25,.422,SG,115,9,Boris Diaw,ATL,314,.437,87,77,123,18,.740,50,57,149,04/05,.180,d/diawbo01.html,124,54,294,66,37,22,170,diawbo01,.471,1201,116
511,46,.405,PG,221,85,Dan Dickau,TOT,887,.461,145,228,201,4,.833,245,190,347,04/05,.347,d/dickada01.html,306,34,756,71,76,26,180,dickada01,.432,2090,146
5,0,.125,PG,0,1,Dan Dickau,DAL,5,.188,1,3,1,0,.667,3,2,1,04/05,.333,d/dickada01.html,1,0,8,4,0,26,1,dickada01,.000,16,1
506,46,.408,PG,221,84,Dan Dickau,NOH,882,.464,144,225,200,4,.836,242,188,346,04/05,.347,d/dickada01.html,305,34,748,67,76,26,179,dickada01,.437,2074,145
5,0,.286,SF,1,3,Kaniel Dickens,NJN,13,.393,2,2,5,1,1.000,9,2,1,04/05,.333,d/dickeka01.html,4,3,14,11,2,26,9,dickeka01,.200,61,6
67,0,.290,C,20,0,DeSagana Diop,CLE,40,.290,12,5,53,27,.000,2,0,15,04/05,.000,d/diopde01.html,20,30,69,39,8,23,70,diopde01,.299,306,40
