fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb
465,67,.455,SF,249,118,Nicolas Batum,POR,990,.528,83,164,194,49,.841,342,138,123,10/11,.345,b/batumni01.html,367,109,807,80,68,22,361,batumni01,.535,2522,252
371,14,.422,PG,169,49,Jerryd Bayless,TOT,651,.469,127,206,149,5,.806,146,166,266,10/11,.336,b/bayleje01.html,218,26,517,71,38,22,165,bayleje01,.456,1496,139
35,0,.347,PG,14,3,Jerryd Bayless,NOH,50,.378,17,17,16,1,.765,14,13,28,10/11,.214,b/bayleje01.html,17,2,49,11,2,22,15,bayleje01,.400,149,13
336,14,.429,PG,155,46,Jerryd Bayless,TOR,601,.479,110,189,133,4,.810,132,153,238,10/11,.348,b/bayleje01.html,201,24,468,60,36,22,150,bayleje01,.461,1347,126
1082,73,.450,SF,501,60,Michael Beasley,MIN,1401,.474,195,291,222,52,.753,164,219,158,10/11,.366,b/beaslmi01.html,561,118,1246,73,54,22,409,beaslmi01,.463,2361,291
140,26,.422,PG,69,25,Rodrigue Beaubois,DAL,236,.478,47,30,76,8,.767,83,23,64,10/11,.301,b/beaubro01.html,94,7,223,28,20,22,52,beaubro01,.493,496,45
367,69,.437,SG,168,134,Marco Belinelli,NOH,836,.534,77,125,146,6,.784,324,98,92,10/11,.414,b/belinma01.html,302,17,691,80,38,24,151,belinma01,.458,1957,134
22,0,.279,SG,6,6,Charlie Bell,GSW,32,.349,6,4,13,1,.500,21,2,13,10/11,.286,b/bellch01.html,12,6,43,19,6,31,18,bellch01,.273,171,12
274,63,.409,SG,123,68,Raja Bell,UTA,541,.482,63,102,169,14,.892,193,91,118,10/11,.352,b/bellra01.html,191,31,467,68,56,34,176,bellra01,.449,2097,145
228,68,.431,PG,95,153,Mike Bibby,TOT,688,.563,101,62,175,9,.629,348,39,265,10/11,.440,b/bibbymi01.html,248,17,576,80,50,32,195,bibbymi01,.417,2285,178
185,56,.435,PG,79,113,Mike Bibby,ATL,526,.563,68,46,125,6,.630,256,29,202,10/11,.441,b/bibbymi01.html,192,15,441,56,38,32,143,bibbymi01,.427,1674,128
5,0,.111,PG,1,0,Mike Bibby,WAS,2,.111,1,0,3,0,,4,0,8,10/11,.000,b/bibbymi01.html,1,0,9,2,1,32,3,bibbymi01,.200,29,3
38,12,.437,PG,15,40,Mike Bibby,MIA,160,.595,32,16,47,3,.625,88,10,55,10/11,.455,b/bibbymi01.html,55,2,126,22,11,32,49,bibbymi01,.395,582,47
266,55,.534,C,142,0,Andris Biedrins,GSW,294,.534,57,31,198,52,.323,0,10,60,10/11,,b/biedran01.html,142,145,266,59,52,24,426,biedran01,.534,1397,281
431,72,.427,PG,193,146,Chauncey Billups,TOT,1208,.519,177,419,146,14,.916,363,384,387,10/11,.402,b/billuch01.html,339,25,794,72,71,34,190,billuch01,.448,2310,165
298,51,.438,PG,130,105,Chauncey Billups,DEN,840,.536,129,287,94,12,.923,238,265,271,10/11,.441,b/billuch01.html,235,12,536,51,52,34,125,billuch01,.436,1646,113
133,21,.403,PG,63,41,Chauncey Billups,NYK,368,.483,48,132,52,2,.902,125,119,116,10/11,.328,b/billuch01.html,104,13,258,21,19,34,65,billuch01,.474,664,52
581,65,.501,PF,292,0,DeJuan Blair,SAS,674,.501,113,137,213,42,.657,2,90,77,10/11,.000,b/blairde01.html,292,215,583,81,95,21,565,blairde01,.503,1734,350
113,0,.359,PG,37,73,Steve Blake,LAL,319,.479,73,30,99,3,.867,193,26,170,10/11,.378,b/blakest01.html,110,19,306,79,40,30,156,blakest01,.327,1581,137
939,63,.445,PF,422,4,Andray Blatche,WAS,1076,.447,172,283,182,51,.777,18,220,144,10/11,.222,b/blatcan01.html,426,183,957,64,98,24,526,blatcan01,.449,2172,343
370,25,.424,PG,174,32,Eric Bledsoe,LAC,543,.457,194,133,130,26,.744,116,99,289,10/11,.276,b/bledser01.html,206,68,486,81,92,21,223,bledser01,.470,1841,155
70,82,.404,SG,34,90,Keith Bogans,CHI,359,.550,41,32,113,9,.656,237,21,101,10/11,.380,b/boganke01.html,124,19,307,82,38,30,148,boganke01,.486,1461,129
738,65,.495,C,367,0,Andrew Bogut,MIL,830,.495,125,217,217,168,.442,4,96,131,10/11,.000,b/bogutan01.html,367,199,742,65,47,26,720,bogutan01,.497,2297,521
141,1,.464,PF,67,105,Matt Bonner,SAS,481,.605,27,43,110,21,.744,230,32,60,10/11,.457,b/bonnema01.html,172,60,371,66,26,30,239,bonnema01,.475,1432,179
252,14,.549,PF,139,0,Trevor Booker,WAS,346,.549,38,101,115,42,.673,1,68,35,10/11,.000,b/booketr01.html,139,98,253,65,29,23,251,booketr01,.552,1063,153
845,59,.510,C,431,0,Carlos Boozer,CHI,1033,.510,149,244,186,18,.701,0,171,145,10/11,,b/boozeca01.html,431,130,845,59,45,29,565,boozeca01,.510,1882,435
1031,77,.496,PF,518,6,Chris Bosh,MIA,1438,.499,138,471,172,49,.815,25,384,144,10/11,.240,b/boshch01.html,524,141,1056,77,59,26,641,boshch01,.502,2795,500
281,0,.443,PG,129,27,Earl Boykins,MIL,408,.482,52,82,43,3,.841,71,69,141,10/11,.380,b/boykiea01.html,156,15,352,57,38,34,55,boykiea01,.459,862,40
11,0,.250,PF,4,0,Craig Brackins,PHI,8,.250,0,0,3,0,,5,0,1,10/11,.000,b/brackcr01.html,4,2,16,3,1,23,4,brackcr01,.364,33,2
62,0,.343,PG,23,0,Avery Bradley,BOS,52,.343,16,12,20,0,.500,5,6,12,10/11,.000,b/bradlav01.html,23,4,67,31,9,20,17,bradlav01,.371,162,13
