fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
73,0,0.56,PF,41,1,Quincy Acy,TOR,116,0.567,17,38,53,15,0.816,2,31,11,Dec-13,0.5,a/acyqu01.html,42,30,75,29,13,22,77,acyqu01,0.562,342,47,665000,Baylor University,108,2012,201,Right,0.027,0.2,0.157,0.7,15.6,0.632,2,16.6,3.5,15.9,10.3,0.4,14.7,5.2,-0.6,0.507,0.7,1.3,13.4,1.1
166,5,0.429,PF,72,0,Jeff Adrien,CHA,209,0.429,32,100,80,27,0.65,2,65,36,Dec-13,0,a/adrieje01.html,72,68,168,52,18,26,196,adrieje01,0.434,713,128,804131,University of Connecticut,111,2010,201,Right,0.012,-0.2,0.064,0.5,13.1,0.493,1.3,21.2,3.1,13.4,10.6,0.4,15.6,8.3,-3,0.595,-3.3,-0.2,15.7,1
665,64,0.439,SF,325,72,Arron Afflalo,ORL,1057,0.478,138,223,137,11,0.857,240,191,206,Dec-13,0.3,a/afflaar01.html,397,29,905,64,40,27,239,afflaar01,0.489,2307,210,7750000,"University of California, Los Angeles",95,2007,196,Right,0.265,-0.2,0.042,1.5,12.1,0.527,0.9,10.3,0.4,13,1.4,0.5,22.5,14.6,-0.3,0.246,-2.3,-2,5.8,2
80,0,0.55,C,44,0,Cole Aldrich,TOT,100,0.55,23,20,60,23,0.6,0,12,9,Dec-13,,a/aldrico01.html,44,30,80,45,5,24,120,aldrico01,0.55,388,90,2445480,University of Kansas,113,2010,211,Right,0,-0.2,0.07,0.1,20.6,0.563,0.7,26.7,4.6,11.1,8.7,0.4,12.7,3.4,-4.8,0.25,-4,0.7,17.7,0.6
1304,74,0.484,PF,636,2,LaMarcus Aldridge,POR,1560,0.485,143,348,187,91,0.81,14,282,192,Dec-13,0.143,a/aldrila01.html,638,175,1318,74,62,27,670,aldrila01,0.488,2790,495,13500000,University of Texas at Austin,117,2006,211,Right,0.011,2,0.124,4.8,8.9,0.53,1.2,20.9,2.5,20.4,7.2,2.3,26.5,13,0.3,0.264,0.8,0.5,14,7.2
453,37,0.454,C,206,0,Lavoy Allen,PHI,455,0.454,55,60,180,55,0.717,1,43,73,Dec-13,0,a/allenla01.html,206,159,454,79,24,23,395,allenla01,0.455,1669,236,3000000,Temple University,117,2012,206,Right,0.002,-0.3,0.072,0.9,10.3,0.474,0.8,16.5,2.6,11.5,10.5,1.6,14.8,6.7,-3.2,0.132,-2.6,0.6,13.4,2.5
319,0,0.449,SG,153,139,Ray Allen,MIA,863,0.555,103,158,129,15,0.886,332,140,135,Dec-13,0.419,a/allenra02.html,292,40,651,79,67,37,217,allenra02,0.48,2035,177,3090000,University of Connecticut,92,1996,196,Right,0.51,1.1,0.126,3.4,12.5,0.599,1.7,10.1,0.6,14.7,2.6,1.9,19.3,10.2,1.7,0.243,0.2,-1.5,6.6,5.4
614,79,0.445,SG,281,3,Tony Allen,MEM,705,0.447,94,187,211,44,0.717,24,134,98,Dec-13,0.125,a/allento01.html,284,121,638,79,119,31,363,allento01,0.458,2109,242,3300000,Oklahoma State University,96,2004,193,Right,0.038,1.8,0.115,1,11.5,0.489,3.1,13.8,1.7,13.2,6.6,4.1,17.8,7.6,-1.6,0.293,1.3,2.9,10.2,5.1
455,71,0.475,SF,221,4,Al-Farouq Aminu,NOH,555,0.479,116,137,153,51,0.737,19,101,103,Dec-13,0.211,a/aminual01.html,225,139,474,76,92,22,585,aminual01,0.486,2066,446,2947800,,,,,,0.04,1.3,0.073,0.7,17.8,0.519,2.4,26.2,2.1,13.7,7.9,2.4,14.6,7.8,-2,0.289,0.4,2.4,16.9,3.1
81,0,0.395,PF,32,0,Lou Amundson,TOT,76,0.395,19,36,53,12,0.333,0,12,11,Dec-13,,a/amundlo01.html,32,48,81,39,16,30,106,amundlo01,0.395,372,58,1069509,"University of Nevada, Las Vegas",99,2007,206,Right,0,-0.1,0.019,-0.3,16.4,0.392,2.3,18.7,2.6,9.3,14.7,0.4,14.2,4.5,-4.4,0.444,-3.3,1,16.7,0.1
120,0,0.577,C,69,2,Chris Andersen,MIA,207,0.585,24,93,89,44,0.677,3,63,17,Dec-13,0.667,a/anderch01.html,71,57,123,42,16,34,172,anderch01,0.575,624,115,699952,Blinn College,111,2001,208,Right,0.024,0.5,0.207,1.6,12.8,0.631,1.4,21.5,5.8,17.4,11.9,1.1,14.4,4,-0.6,0.756,1.2,1.8,17,2.7
331,2,0.383,SF,141,95,Alan Anderson,TOR,693,0.46,80,147,131,7,0.857,285,126,103,Dec-13,0.333,a/anderal01.html,236,34,616,65,48,30,148,anderal01,0.426,1495,114,885120,,,,,,0.463,0,0.052,0.8,10.5,0.509,1.7,9.2,0.4,12.6,2.7,0.8,23.6,11.7,0.4,0.239,-2,-2.4,5.9,1.6
66,2,0.413,SG-SF,31,21,James Anderson,TOT,149,0.496,25,28,25,5,0.857,60,24,42,Dec-13,0.35,a/anderja01.html,52,18,126,39,15,23,72,anderja01,0.47,401,54,145749,,,,,,0.476,0.2,0.106,0.4,15.3,0.539,1.9,15,0.9,13.9,5.2,0.4,18,15.8,-0.1,0.222,-0.1,0,10.2,0.9
558,22,0.423,PF,259,213,Ryan Anderson,NOH,1309,0.519,97,180,179,31,0.844,557,152,97,Dec-13,0.382,a/anderry01.html,472,191,1115,81,42,24,519,anderry01,0.464,2503,328,8700000,,,,,,0.5,2.1,0.125,5.7,7.5,0.548,0.9,15.9,1,18.1,8.9,0.8,24,6.9,4.1,0.161,1.3,-2.9,12.4,6.5
