fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
126,0,0.468,SF,62,4,Quincy Acy,TOT,171,0.482,30,53,122,26,0.66,15,35,28,13/14,0.267,a/acyqu01.html,66,72,141,63,23,23,216,acyqu01,0.492,847,144,788872,Baylor University,108,2012,201,Right,0.106,0.2,0.086,0.6,15.4,0.52,1.4,19.5,2.5,10.1,9.5,0.9,10.1,4.9,-2.5,0.376,-1.1,1.4,14.4,1.5
185,20,0.503,C,93,0,Steven Adams,OKC,265,0.503,71,136,203,57,0.581,0,79,43,13/14,,a/adamsst01.html,93,142,185,81,40,20,332,adamsst01,0.503,1197,190,2090880,University of Pittsburgh,115,2013,213,Right,0,0.7,0.114,0.9,22.5,0.541,1.7,17.1,3.9,11.2,14.1,1.9,11.7,4.9,-2.1,0.735,0.3,2.4,15.6,2.9
275,12,0.52,PF,143,0,Jeff Adrien,TOT,362,0.52,39,119,108,36,0.639,0,76,38,13/14,,a/adrieje01.html,143,102,275,53,24,27,306,adrieje01,0.52,961,204,916099,University of Connecticut,111,2010,201,Right,0,0.2,0.134,1.6,10.6,0.553,1.3,24.8,3,17.4,11.8,1.1,17.3,6.8,-1.4,0.433,-1.1,0.3,18.2,2.7
711,73,0.459,SG,336,128,Arron Afflalo,ORL,1330,0.522,146,336,136,3,0.815,300,274,248,13/14,0.427,a/afflaar01.html,464,32,1011,73,35,28,262,afflaar01,0.473,2552,230,7312500,"University of California, Los Angeles",95,2007,196,Right,0.297,0.9,0.099,4.3,11.2,0.574,0.7,10.2,0.1,16,1.4,1,23.3,16.9,1.7,0.332,-0.6,-2.3,5.8,5.3
1408,69,0.458,PF,649,3,LaMarcus Aldridge,POR,1603,0.459,123,360,147,68,0.822,15,296,178,13/14,0.2,a/aldrila01.html,652,166,1423,69,63,28,765,aldrila01,0.461,2498,599,14128000,University of Texas at Austin,117,2006,211,Right,0.011,1.5,0.144,4,7.2,0.507,1.3,25.5,1.9,21.8,7.2,3.5,29.8,13,-0.4,0.253,0.3,0.7,16.5,7.5
287,2,0.447,PF,132,2,Lavoy Allen,TOT,303,0.45,44,50,126,33,0.66,13,33,71,13/14,0.154,a/allenla01.html,134,119,300,65,24,24,311,allenla01,0.46,1072,192,3060000,Temple University,117,2012,206,Right,0.043,-0.2,0.066,0.6,12,0.47,1.1,20,2.4,12.5,11.7,0.9,14.6,10.1,-3.1,0.167,-2.8,0.3,15.7,1.5
234,9,0.442,SG,124,116,Ray Allen,MIA,701,0.549,84,116,115,8,0.905,309,105,143,13/14,0.375,a/allenra02.html,240,23,543,73,54,38,205,allenra02,0.53,1936,182,3229050,University of Connecticut,92,1996,196,Right,0.569,1,0.101,2.5,12.4,0.59,1.5,11.4,0.4,12.8,1.6,1.5,16.8,11.1,1.3,0.214,0.1,-1.2,6.7,4.1
366,28,0.494,SG,193,11,Tony Allen,MEM,495,0.507,90,121,121,19,0.628,47,76,94,13/14,0.234,a/allento01.html,204,79,413,55,90,32,208,allento01,0.527,1278,129,4494382,Oklahoma State University,96,2004,193,Right,0.114,1.4,0.1,0.5,16.2,0.531,3.8,12,1.2,15.6,7.3,2.1,20.1,11.7,-0.1,0.293,2.3,2.4,9.6,2.7
446,65,0.474,SF,221,13,Al-Farouq Aminu,NOP,572,0.487,88,137,147,38,0.664,48,91,114,13/14,0.271,a/aminual01.html,234,129,494,80,82,23,496,aminual01,0.496,2045,367,3700000,,,,,,0.097,0.9,0.072,1.3,13.7,0.516,2.1,21.2,1.6,13.2,7.2,1.8,14.3,8.4,-1.4,0.277,-0.3,1,14.1,3.1
263,0,0.644,C,174,3,Chris Andersen,MIA,477,0.649,53,169,162,97,0.71,12,120,19,13/14,0.25,a/anderch01.html,177,129,275,72,32,35,379,anderch01,0.662,1396,250,1399507,Blinn College,111,2001,208,Right,0.044,1.3,0.205,3.8,13.2,0.683,1.2,21.7,6.1,18.5,12.1,2.2,13.8,2.1,0.1,0.615,1.6,1.5,17.1,6
237,26,0.4,SF,110,84,Alan Anderson,BRK,564,0.487,62,118,147,11,0.78,248,92,81,13/14,0.339,a/anderal01.html,194,40,485,78,48,31,175,anderal01,0.464,1773,135,947907,,,,,,0.511,-0.1,0.047,0.8,10.4,0.525,1.4,9.1,0.5,9.5,2.7,0.9,15.9,7.3,-0.8,0.243,-2.2,-1.4,5.9,1.7
366,62,0.431,SG,194,115,James Anderson,PHI,810,0.511,106,106,154,28,0.726,351,77,149,13/14,0.328,a/anderja01.html,309,59,717,80,74,24,300,anderja01,0.53,2309,241,916099,,,,,,0.49,-0.3,0.039,0.9,12.2,0.53,1.6,11.7,1,10.9,2.7,0.9,15.9,9.9,-1.2,0.148,-2.5,-1.3,7,1.9
190,14,0.438,PF,88,67,Ryan Anderson,NOP,436,0.532,20,62,47,7,0.952,164,59,17,13/14,0.409,a/anderry01.html,155,66,354,22,10,25,142,anderry01,0.463,795,76,8308500,,,,,,0.463,0.4,0.138,2.2,5,0.572,0.7,11.3,0.7,18.8,9.5,0.1,22.9,3.6,4.3,0.175,-0.1,-4.5,10.4,2.3
300,23,0.414,SF,132,41,Giannis Antetokounmpo,MIL,525,0.463,122,202,173,61,0.683,118,138,150,13/14,0.347,a/antetgi01.html,173,78,418,77,60,19,339,antetgi01,0.44,1897,261,1792560,,100,2013,211,Right,0.282,0.1,0.031,0.1,19.4,0.518,1.7,16.3,2.6,10.8,4.6,1.1,15,12.1,-2.5,0.483,-1.8,0.7,10.2,1.2
1228,77,0.452,PF,576,167,Carmelo Anthony,NYK,2112,0.503,198,541,224,51,0.848,415,459,242,13/14,0.402,a/anthoca01.html,743,145,1643,77,95,29,622,anthoca01,0.469,2982,477,22407474,Syracuse University,108,2003,203,Right,0.253,4.2,0.172,8.1,9.5,0.561,1.7,19.4,1.5,24.4,5.6,2.5,32.4,15.8,4.6,0.329,3.6,-1,12.3,10.7
32,0,0.375,C,12,0,Joel Anthony,TOT,28,0.375,3,8,17,12,0.5,0,4,2,13/14,,a/anthojo01.html,12,15,32,33,3,31,38,anthojo01,0.375,186,23,3800000,"University of Nevada, Las Vegas",111,2007,206,Left,0,-0.1,0.044,0,7.8,0.394,0.8,14.6,5.2,8.1,9.1,0.2,9.3,1.6,-5.7,0.25,-4.7,1,11.8,0.2
411,77,0.456,SF,209,180,Trevor Ariza,WAS,1107,0.562,132,193,179,20,0.772,442,149,191,13/14,0.407,a/arizatr01.html,389,99,853,77,126,28,475,arizatr01,0.509,2723,376,7727280,"University of California, Los Angeles",97,2004,203,Right,0.518,3.6,0.141,4.3,12.3,0.59,2.4,16.3,0.6,15.8,4.1,3.7,17.8,10.8,2.3,0.226,3.4,1.1,10.1,8
346,1,0.395,SF,138,24,Darrell Arthur,DEN,401,0.424,58,62,185,47,0.855,64,53,61,13/14,0.375,a/arthuda01.html,162,52,410,68,39,25,210,arthuda01,0.399,1161,158,3231683,University of Kansas,106,2008,206,Right,0.156,-0.2,0.029,-0.5,11.7,0.459,1.6,14.7,3,9.4,4.8,1.2,18.1,8,-3.8,0.151,-2.8,1,9.8,0.7
190,19,0.532,C,101,0,Omer Asik,HOU,280,0.532,59,126,92,37,0.619,0,78,25,13/14,,a/asikom01.html,101,101,190,48,14,27,378,asikom01,0.532,968,277,8374646,,115,2010,213,Right,0,-0.1,0.121,1,19.4,0.57,0.7,30.1,2.8,14,12.3,1.5,13.8,3.8,-3.1,0.663,-2.4,0.7,21.7,2.4
386,9,0.415,PG,165,133,D.J. Augustin,TOT,930,0.508,125,227,147,3,0.885,332,201,313,13/14,0.401,a/augusdj01.html,298,15,718,71,53,26,130,augusdj01,0.427,1939,115,1267000,University of Texas at Austin,83,2008,183,Right,0.462,1.2,0.154,3.8,13.3,0.569,1.5,6.7,0.1,16.2,0.9,2.4,22.4,28.9,2.6,0.316,0.4,-2.2,3.8,6.2
102,14,0.51,C,52,0,Gustavo Ayon,ATL,112,0.51,29,20,47,10,0.4,0,8,28,13/14,,a/ayongu01.html,52,42,102,26,25,28,125,ayongu01,0.51,429,83,1500000,,113,2012,208,Right,0,0.2,0.078,0,20.7,0.505,3,22.3,1.8,12.9,11.4,0.7,14.8,10,-3.2,0.196,-0.2,3,16.9,0.7
174,10,0.58,PF,101,0,Jeff Ayres,SAS,240,0.58,63,55,146,25,0.691,0,38,60,13/14,,p/pendeje02.html,101,89,174,73,13,26,258,pendeje02,0.58,952,169,1750000,Arizona State University,108,2009,206,Right,0,0.6,0.121,1,24.1,0.605,0.7,19.2,1.9,11.1,11,1.4,12.4,8.6,-1.6,0.316,0.5,2.1,15.3,2.4
425,1,0.387,PG,181,73,J.J. Barea,MIN,660,0.443,125,100,129,0,0.79,231,79,303,13/14,0.316,b/bareajo01.html,254,16,656,79,26,29,154,bareajo01,0.426,1471,138,4687000,Northeastern University,83,2006,183,Right,0.352,-0.6,0.024,-0.1,15.2,0.471,0.9,10.5,0,11.6,1.2,0.9,23.9,32.7,-0.9,0.152,-3.6,-2.7,5.7,0.7
394,39,0.442,C,192,30,Andrea Bargnani,NYK,558,0.472,58,102,100,52,0.824,108,84,45,13/14,0.278,b/bargnan01.html,222,69,502,42,14,28,222,bargnan01,0.487,1257,153,11862500,,111,2006,213,Right,0.215,-0.1,0.058,0.8,9.6,0.51,0.6,14.7,3.7,14.5,6.3,0.7,22.4,6.1,-1.4,0.203,-2.4,-1,10.4,1.5
489,24,0.399,SF,205,66,Harrison Barnes,GSW,738,0.448,84,181,158,20,0.718,190,130,116,13/14,0.347,b/barneha02.html,271,66,679,78,65,21,311,barneha02,0.419,2204,245,2923920,University of North Carolina,95,2012,203,Right,0.28,0.3,0.07,0.4,10,0.486,1.5,11.9,0.7,9.8,3.3,2.8,16.8,7.6,-2.3,0.267,-1.4,0.9,7.7,3.2
244,40,0.438,SF,134,97,Matt Barnes,LAC,625,0.53,85,90,185,28,0.733,283,66,125,13/14,0.343,b/barnema02.html,231,60,527,63,56,33,292,barnema02,0.549,1735,232,3250000,"University of California, Los Angeles",102,2004,201,Right,0.537,1.5,0.097,1.5,13,0.552,1.6,14.4,1.2,12,4,2,16.6,10.6,0.7,0.171,1.5,0.8,9.3,3.5
123,0,0.417,SG,55,10,Will Barton,POR,166,0.449,18,32,31,7,0.813,33,26,33,13/14,0.303,b/bartowi01.html,65,16,156,41,9,23,74,bartowi01,0.447,387,58,788872,University of Memphis,79,2012,198,Right,0.212,-0.1,0.078,0.3,9.6,0.488,1.2,16,1.3,13.5,4.5,0.4,21.2,13.3,-1.9,0.205,-2.7,-0.7,10.3,0.6
719,73,0.486,PF,350,2,Brandon Bass,BOS,911,0.487,102,239,190,71,0.858,6,205,87,13/14,0.333,b/bassbr01.html,352,161,725,82,36,28,470,bassbr01,0.487,2266,309,6450000,Louisiana State University,113,2005,203,Right,0.008,0.5,0.107,3.2,10.9,0.549,0.8,15.9,2.4,15,7.8,1.9,18.2,6.4,-1.3,0.33,-1.2,0.2,11.8,5.1
65,56,0.382,SF,32,73,Shane Battier,MIA,298,0.515,21,23,124,39,0.652,210,15,63,13/14,0.348,b/battish01.html,105,34,275,73,50,35,138,battish01,0.492,1468,104,3270000,Duke University,99,2001,203,Right,0.764,1.1,0.078,1,6.9,0.523,1.8,8.6,2.3,8.7,3,1.4,10,6,0.1,0.084,0.8,0.7,5.9,2.4
417,82,0.465,SF,236,145,Nicolas Batum,POR,1070,0.554,208,203,156,57,0.803,402,163,420,13/14,0.361,b/batumni01.html,381,116,819,82,75,25,611,batumni01,0.566,2956,495,11295250,,90,2008,203,Right,0.491,4.6,0.128,4.8,18.6,0.589,1.3,17.8,1.3,15.8,4.3,3.1,16.5,20.9,2.4,0.248,4.2,1.8,11.1,7.9
405,19,0.402,PG,172,76,Jerryd Bayless,TOT,666,0.464,82,118,161,9,0.797,212,94,194,13/14,0.358,b/bayleje01.html,248,22,617,72,60,25,145,bayleje01,0.425,1686,123,3135000,University of Arizona,90,2008,190,Right,0.344,0.1,0.069,1.1,10.9,0.498,1.9,8.6,0.4,12,1.5,1.3,20.1,18.5,-0.4,0.191,-1.8,-1.4,5,2.4
163,4,0.436,C,71,0,Aron Baynes,SAS,161,0.436,36,21,77,5,0.905,0,19,34,13/14,,b/baynear01.html,71,57,163,53,2,27,145,baynear01,0.436,491,88,788872,Washington State University,117,2013,208,Right,0,-0.2,0.055,-0.1,17.3,0.467,0.2,19.4,0.7,9.7,13.6,0.6,19.2,9.9,-3.7,0.129,-4,-0.3,16.6,0.6
