fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
634,45,0.474,C,307,3,Shareef Abdur-Rahim,SAC,793,0.476,116,234,243,40,0.726,20,170,109,06-Jul,0.15,a/abdursh01.html,310,122,654,80,53,30,398,abdursh01,0.484,2015,276,5400000,University of California,102,1996,206,Right,0.031,-0.1,0.067,1.1,13.3,0.524,1.3,16.4,1.5,13.1,7,1.7,19.5,9.2,-2.1,0.358,-2.1,0,11.6,2.8
134,8,0.556,SG,75,0,Hassan Adams,NJN,174,0.556,22,36,47,4,0.667,1,24,13,06-Jul,0,a/adamsha01.html,75,35,135,61,17,22,77,adamsha01,0.56,495,42,412718,University of Arizona,99,2006,193,Right,0.007,-0.2,0.095,0.5,12.7,0.577,1.8,9.9,0.6,13,8.4,0.5,16.3,4.5,-2.4,0.267,-3.6,-1.2,9.2,1
55,1,0.314,SG,17,5,Maurice Ager,DAL,69,0.35,15,33,27,3,0.606,15,20,7,06-Jul,0.333,a/agerma01.html,22,1,70,32,4,22,21,agerma01,0.309,214,20,906480,Michigan State University,91,2006,196,Right,0.214,-0.4,-0.06,-0.5,15.1,0.408,1,11,1.1,2.9,0.6,0.2,21.7,5,-7.5,0.471,-9.3,-1.8,5.9,-0.3
477,22,0.503,C,241,0,LaMarcus Aldridge,POR,565,0.503,43,115,186,73,0.722,2,83,24,06-Jul,0,a/aldrila01.html,241,144,479,63,22,21,312,aldrila01,0.505,1392,168,4027320,University of Texas at Austin,117,2006,211,Right,0.004,0.4,0.118,2.5,7.5,0.533,0.9,15.3,4.2,17.1,12.6,1,19.3,3.2,-0.3,0.24,-0.9,-0.6,13.9,3.4
257,1,0.415,PF,107,0,Malik Allen,CHI,242,0.415,21,34,85,16,0.824,1,28,16,06-Jul,0,a/allenma01.html,107,42,258,60,17,28,119,allenma01,0.416,638,77,1803600,Villanova University,115,2001,208,Right,0.004,-0.5,0.073,-0.2,7.1,0.443,1.4,13.7,2,10.4,7.6,1.1,20.5,4.2,-4.9,0.132,-5.2,-0.3,10.6,1
710,55,0.438,SG,340,165,Ray Allen,SEA,1454,0.51,154,309,113,11,0.903,443,279,228,06-Jul,0.372,a/allenra02.html,505,57,1153,55,82,31,247,allenra02,0.479,2219,190,14611570,University of Connecticut,92,1996,196,Right,0.384,3,0.136,5.4,10.7,0.564,1.9,10.4,0.4,21.6,3.1,0.9,29.5,19,5.4,0.268,3.4,-2.1,6.7,6.3
226,18,0.514,SG,125,8,Tony Allen,BOS,379,0.529,75,134,87,12,0.784,33,105,56,06-Jul,0.242,a/allento01.html,133,35,259,33,49,25,124,allento01,0.553,805,89,1037280,Oklahoma State University,96,2004,193,Right,0.127,0.6,0.111,0.8,19.1,0.596,3.2,13.6,1.2,17,5.1,1.1,22.1,12.5,0,0.517,1.1,1.1,9.2,1.9
491,82,0.375,PG,191,192,Rafer Alston,HOU,1088,0.47,170,177,195,10,0.734,529,130,444,06-Jul,0.363,a/alstora01.html,383,29,1020,82,129,30,282,alstora01,0.389,3040,253,4200000,"California State University, Fresno",77,2000,188,Right,0.519,2.5,0.104,1.7,13.4,0.496,2.2,9.5,0.3,12.9,1.1,4.9,19.4,24.1,0.4,0.174,1.3,0.9,5.3,6.6
15,0,0.4,PF,6,0,Lou Amundson,TOT,16,0.4,5,10,15,8,0.4,0,4,1,06-Jul,,a/amundlo01.html,6,13,15,11,1,24,28,amundlo01,0.4,89,15,35232,"University of Nevada, Las Vegas",99,2007,206,Right,0,0,0.039,-0.1,20.5,0.412,0.6,20.2,6.9,9.6,17.6,0.1,12.7,1.7,-5.5,0.667,-4.1,1.4,18.9,0.1
61,0,0.457,SG,32,5,Alan Anderson,CHA,98,0.488,22,23,33,0,0.826,20,19,21,06-Jul,0.25,a/anderal01.html,37,11,81,17,7,24,32,anderal01,0.525,256,21,102131,,,,,,0.247,-0.1,0.024,0,19.4,0.538,1.4,10,0,10.1,4.9,0.1,20.1,13.8,-2.2,0.284,-4,-1.8,7.4,0.1
142,32,0.429,SF,72,54,Derek Anderson,CHA,399,0.52,56,106,115,7,0.877,152,93,133,06-Jul,0.355,a/anderde01.html,126,29,294,50,52,32,113,anderde01,0.507,1190,84,400000,University of Kentucky,87,1997,196,Right,0.517,0.9,0.117,2,14.1,0.586,2.3,8.6,0.5,13.7,2.8,0.9,15.1,17.6,1.5,0.361,1,-0.4,5.6,2.9
1304,65,0.476,SF,651,40,Carmelo Anthony,DEN,1881,0.489,234,568,203,23,0.808,149,459,249,06-Jul,0.268,a/anthoca01.html,691,143,1453,65,77,22,391,anthoca01,0.499,2486,248,4694041,Syracuse University,108,2003,203,Right,0.103,2.5,0.14,5.2,12.1,0.552,1.5,11.1,0.7,22.1,6.6,2.1,33.4,19.2,3.1,0.391,2,-1.1,8.9,7.3
65,0,0.415,C,27,0,Rafael Araujo,UTA,72,0.415,17,29,39,2,0.621,0,18,10,06-Jul,,a/araujra01.html,27,22,65,28,6,26,66,araujra01,0.415,248,44,2395200,Brigham Young University,127,2004,211,Right,0,-0.2,0.027,-0.1,17.9,0.463,1.3,21.5,0.7,8.3,10.8,0.3,17.1,6.1,-4.5,0.446,-5.2,-0.7,16.2,0.1
964,73,0.418,PG,442,205,Gilbert Arenas,WAS,2105,0.484,236,718,249,13,0.844,584,606,443,06-Jul,0.351,a/arenagi01.html,647,61,1548,74,139,25,338,arenagi01,0.459,2942,277,11096800,University of Arizona,86,2001,190,Right,0.377,5.2,0.177,9.3,11.2,0.565,2.4,11.1,0.3,24,2.3,1.5,31.4,27.2,7,0.464,5,-2,6.6,10.8
364,7,0.539,SG,200,0,Trevor Ariza,ORL,506,0.539,84,171,134,19,0.62,7,106,65,06-Jul,0,a/arizatr01.html,200,98,371,57,59,21,249,arizatr01,0.549,1278,151,3100000,"University of California, Los Angeles",97,2004,203,Right,0.019,1.1,0.128,1.5,15.8,0.567,2.5,14.2,1.2,16.2,9.7,1.9,19.2,8.9,0.2,0.461,1.5,1.2,12,3.4
163,4,0.414,PG,84,72,Darrell Armstrong,IND,457,0.509,76,93,102,6,0.785,214,73,191,06-Jul,0.336,a/armstda01.html,156,34,377,81,70,38,135,armstda01,0.515,1275,101,1178348,Fayetteville State University,77,1995,183,Right,0.568,1,0.121,1.7,15.4,0.547,2.9,9.3,0.4,15.1,3,1.5,17.4,24.8,1.7,0.247,1.1,-0.6,6.1,3.2
125,5,0.544,C,68,0,Hilton Armstrong,NOK,176,0.544,35,67,79,26,0.597,0,40,10,06-Jul,,a/armsthi01.html,68,58,125,56,12,22,149,armsthi01,0.544,634,91,1767600,University of Connecticut,106,2006,211,Right,0,-0.1,0.091,0.5,18.5,0.57,1,17,3.3,12.2,10.3,0.7,13.6,2.5,-3.1,0.536,-2.6,0.5,13.6,1.2
427,5,0.425,PG,189,14,Carlos Arroyo,ORL,552,0.439,90,166,131,2,0.795,51,132,202,06-Jul,0.275,a/arroyca01.html,203,31,478,72,39,27,134,arroyca01,0.443,1304,103,4100000,Florida International University,91,2001,188,Right,0.107,0,0.094,1.2,14,0.501,1.6,9.5,0.1,14.4,3,1.3,22.8,27.1,-0.4,0.347,-2,-1.6,6.3,2.5
409,23,0.434,PG,194,116,Chucky Atkins,MEM,988,0.515,127,311,136,4,0.81,306,252,346,06-Jul,0.379,a/atkinch01.html,310,18,715,75,50,32,139,atkinch01,0.474,2064,121,3000000,University of South Florida,72,1999,180,Right,0.428,0.7,0.114,5.1,13,0.58,1.2,7,0.1,17.4,1,-0.2,21.4,27.9,3.5,0.435,-0.6,-4.1,4,4.9
3,0,0.333,PF,1,0,James Augustine,ORL,2,0.333,0,0,2,0,,0,0,2,06-Jul,,a/augusja01.html,1,1,3,2,0,22,3,augusja01,0.333,7,2,412718,University of Illinois at Urbana-Champaign,106,2007,208,Left,0,0,0.168,0,0,0.333,0,34.4,0,16.6,18,0,19.9,48.9,3.3,0,5,1.8,26.4,0
141,9,0.445,SG,64,34,Kelenna Azubuike,GSW,291,0.523,39,78,49,10,0.782,79,61,28,06-Jul,0.43,a/azubuke01.html,98,26,220,41,22,23,94,azubuke01,0.454,669,68,50000,,,,,,0.359,-0.1,0.083,0.7,13.3,0.572,1.6,11.4,1.1,13.4,4.2,0.5,18.7,6.2,-1.1,0.355,-2.7,-1.6,7.7,1.2
248,1,0.505,SF,134,5,Renaldo Balkman,NYK,334,0.515,49,90,146,44,0.567,27,51,44,06-Jul,0.185,b/balkmre01.html,139,97,275,68,57,22,294,balkmre01,0.54,1064,197,1191240,University of South Carolina,94,2006,203,Right,0.098,0.9,0.125,1.1,13.5,0.531,2.8,21.8,3.3,16.1,11,1.7,15.5,7,-1,0.327,1.4,2.4,16.4,2.8
