fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
14,0,0.214,PF,3,0,Shareef Abdur-Rahim,SAC,10,0.214,1,4,9,0,1,0,4,4,07-Aug,,a/abdursh01.html,3,6,14,6,1,31,10,abdursh01,0.214,51,4,5800000,University of California,102,1996,206,Right,0,0,-0.005,0,6,0.317,1,9.1,0,5.5,14.2,0,14.7,11.1,-3.6,0.286,-5.7,-2.1,11.6,0
193,9,0.411,SG,89,10,Arron Afflalo,DET,276,0.432,34,87,83,8,0.782,48,68,52,07-Aug,0.208,a/afflaar01.html,99,36,241,75,31,22,137,afflaar01,0.461,970,101,944520,"University of California, Los Angeles",95,2007,196,Right,0.199,0.1,0.092,0.5,10.9,0.494,1.8,12.5,0.7,10.2,4.4,1.4,15.2,8.1,-2.3,0.361,-1.6,0.6,8.4,1.9
46,3,0.323,SG,18,3,Maurice Ager,TOT,51,0.346,6,12,17,1,0.5,19,6,8,07-Aug,0.158,a/agerma01.html,21,4,65,26,0,23,13,agerma01,0.391,165,9,974400,Michigan State University,91,2006,196,Right,0.292,-0.4,-0.114,-0.4,7.9,0.363,0,6.3,0.4,1.8,2.8,0,21.3,8,-6.8,0.185,-11.3,-4.5,4.6,-0.4
1153,76,0.484,PF,560,1,LaMarcus Aldridge,POR,1350,0.484,126,298,240,94,0.762,7,227,122,07-Aug,0.143,a/aldrila01.html,561,220,1160,76,55,22,578,aldrila01,0.486,2649,358,4329360,University of Texas at Austin,117,2006,211,Right,0.006,1.8,0.113,3.5,8.9,0.523,1.1,15.8,2.8,18.5,9.8,2.8,25.3,8.8,0.1,0.257,0.8,0.7,12.8,6.2
325,16,0.48,PF,156,1,Malik Allen,TOT,338,0.482,45,25,149,31,0.92,2,23,44,07-Aug,0.5,a/allenma01.html,157,66,327,73,19,29,196,allenma01,0.48,1096,130,998398,Villanova University,115,2001,208,Right,0.006,-0.5,0.045,0.1,11.7,0.5,0.9,13.6,2.2,9.8,7,0.9,16.1,6.8,-3.6,0.076,-3.9,-0.3,10.4,1
534,73,0.445,SG,259,180,Ray Allen,BOS,1273,0.537,127,237,147,16,0.907,452,215,225,07-Aug,0.398,a/allenra02.html,439,75,986,73,65,32,268,allenra02,0.485,2624,193,16000000,University of Connecticut,92,1996,196,Right,0.458,3.4,0.177,5.6,10.4,0.584,1.3,8.3,0.5,16.4,3.6,4.1,21.6,14.6,3.2,0.24,3.1,-0.1,6.1,9.7
332,11,0.434,SG,151,18,Tony Allen,BOS,494,0.458,109,181,168,21,0.762,57,138,114,07-Aug,0.316,a/allento01.html,169,34,389,75,62,26,168,allento01,0.455,1373,134,1868141,Oklahoma State University,96,2004,193,Right,0.147,0.2,0.093,-0.1,18.9,0.527,2.4,11,1.3,10.7,3.1,2.8,19.6,13.1,-3.2,0.465,-1.4,1.8,7.3,2.7
11,0,0.267,SG,3,1,Morris Almond,UTA,13,0.3,2,6,5,0,0.667,4,4,3,07-Aug,0.25,a/almonmo01.html,4,0,15,9,1,22,2,almonmo01,0.273,39,2,1005960,,,,,,0.267,-0.1,-0.081,-0.1,10.2,0.368,1.3,6.2,0,2,0,0,22.5,10.5,-6.9,0.4,-11,-4,3.1,-0.1
517,74,0.394,PG,221,143,Rafer Alston,HOU,969,0.471,160,137,139,18,0.715,407,98,392,07-Aug,0.351,a/alstora01.html,364,28,924,74,98,31,260,alstora01,0.427,2526,232,4550000,"California State University, Fresno",77,2000,188,Right,0.44,1.9,0.095,1,14,0.492,2.1,10.2,0.5,13.2,1.3,4,20.7,25.2,0.2,0.148,1,0.7,5.8,5
16,0,0.5,PF,8,0,Lou Amundson,PHI,18,0.5,2,7,13,1,0.286,0,2,0,07-Aug,,a/amundlo01.html,8,7,16,16,1,25,12,amundlo01,0.5,64,5,687456,"University of Nevada, Las Vegas",99,2007,206,Right,0,-0.1,0.043,0,9.5,0.472,0.8,9.4,1.2,7.4,12.9,0,14.9,0,-4.5,0.438,-8.8,-4.3,11.1,0.1
