fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
442,18,0.457,PG,209,48,C.J. Watson,GSW,730,0.5,92,193,137,4,0.87,120,168,206,08-Sep,0.4,w/watsocj01.html,257,39,562,77,96,24,192,watsocj01,0.473,1883,153,711517,University of Tennessee,79,2008,188,Right,0.214,0.4,0.084,2.7,12.5,0.564,2.5,8.8,0.1,14.2,2.3,0.6,16.8,16.2,0.5,0.343,-1.1,-1.5,5.5,3.3
368,18,0.384,PG,154,20,Earl Watson,OKC,448,0.406,156,106,137,11,0.755,85,80,391,08-Sep,0.235,w/watsoea01.html,174,36,453,68,50,29,183,watsoea01,0.418,1776,147,6200000,,,,,,0.188,-1.4,-0.005,-1.2,23.8,0.448,1.4,9.7,0.5,9.5,2.3,1.1,16.3,33.4,-3.4,0.234,-5,-1.7,5.9,-0.2
153,19,0.459,SG,81,32,Kyle Weaver,OKC,299,0.524,69,58,81,25,0.707,93,41,101,08-Sep,0.344,w/weaveky01.html,113,31,246,56,47,22,130,weaveky01,0.529,1166,99,806452,,,,,,0.378,0.3,0.049,0.2,20.3,0.551,2.1,9.9,1.6,10.2,3,1,12.9,13.1,-1.9,0.236,-1.1,0.8,6.4,1.2
0,0,0,SF,0,0,Martell Webster,POR,0,0,0,0,0,0,,1,0,0,08-Sep,0,w/webstma02.html,0,0,1,1,0,22,0,webstma02,,5,0,3771133,,,,,,1,0,-0.204,0,0,0,0,0,0,-8.4,0,0,9.4,0,-8.8,0,-11.7,-2.9,0,0
22,0,0.32,SG,8,0,Sonny Weems,DEN,19,0.32,6,8,8,0,0.375,3,3,3,08-Sep,0,w/weemsso01.html,8,0,25,12,1,22,4,weemsso01,0.364,55,4,442114,University of Arkansas,92,2009,198,Right,0.12,-0.2,-0.255,-0.3,17.4,0.333,0.9,8.2,0,-3.9,0,0,27.9,8.7,-12.6,0.32,-17.2,-4.5,4.2,-0.3
1267,76,0.472,PF,604,6,David West,NOH,1593,0.474,163,415,207,68,0.884,25,367,173,08-Sep,0.24,w/westda01.html,610,160,1292,76,49,28,646,westda01,0.477,2982,486,9862500,Xavier University,113,2003,206,Right,0.019,1.2,0.125,4.2,10,0.54,0.9,19.7,1.9,18.9,6.5,3.5,26.5,10.9,-0.6,0.321,-0.5,0.2,13.1,7.8
396,64,0.457,SG,194,91,Delonte West,CLE,751,0.53,92,108,125,13,0.833,228,90,226,08-Sep,0.399,w/westde01.html,285,31,624,64,94,25,203,westde01,0.49,2152,172,3850000,Saint Joseph's University,81,2004,193,Left,0.365,2.3,0.142,3,12,0.559,2.4,9.2,0.5,14.1,1.8,3.4,16.7,16.6,1.1,0.173,2.3,1.2,5.6,6.4
33,3,0.412,SG,13,1,Mario West,ATL,43,0.426,13,30,35,4,0.467,1,14,19,08-Sep,1,w/westma02.html,14,24,34,53,18,24,56,westma02,0.394,269,32,711517,Georgia Institute of Technology,95,2007,196,Right,0.029,0.1,0.08,0,21.6,0.456,3.6,13.9,1.1,10,10.5,0.4,10.5,10.1,-2.9,0.882,-0.1,2.8,12.2,0.4
966,65,0.398,PG,401,35,Russell Westbrook,OKC,1256,0.414,274,428,191,16,0.815,129,349,435,08-Sep,0.271,w/westbru01.html,436,178,1095,82,110,20,399,westbru01,0.415,2668,221,3493680,,,,,,0.118,1.3,0.035,-0.1,17.6,0.489,2.1,9.7,0.4,15.2,7.6,2,25.8,27.5,0.1,0.391,-0.1,-0.2,8.6,1.9
50,0,0.52,PF,26,0,D.J. White,OKC,62,0.52,3,13,10,5,0.769,0,10,6,08-Sep,,w/whitedj01.html,26,10,50,7,3,22,32,whitedj01,0.52,130,22,964080,Indiana University,113,2009,206,Right,0,0,0.157,0.3,5.1,0.556,1.2,19.8,2.8,19.8,8.7,0.1,20,8.3,-0.5,0.26,-1,-0.5,14.2,0.4
366,6,0.497,C,184,0,Chris Wilcox,TOT,447,0.497,75,140,137,16,0.564,4,79,47,08-Sep,0,w/wilcoch01.html,184,96,370,62,26,26,277,wilcoch01,0.503,1049,181,6750000,University of Maryland,100,2002,208,Right,0.011,-0.6,0.048,0.1,14.8,0.518,1.3,20,1.1,13.3,10.2,1,21.3,7.6,-3.2,0.378,-4.1,-0.9,15,1.1
141,14,0.362,SG,50,27,Damien Wilkins,OKC,218,0.425,37,46,55,7,0.804,72,37,37,08-Sep,0.375,w/wilkida02.html,77,20,213,41,22,29,70,wilkida02,0.355,636,50,3100000,University of Georgia,102,2004,198,Right,0.338,-0.4,0.002,-0.4,13.7,0.467,1.8,9.2,0.8,8.3,3.6,0.4,18.8,9.1,-3.3,0.216,-4.7,-1.4,6.3,0
758,68,0.471,PG,393,70,Deron Williams,UTA,1322,0.506,228,384,134,20,0.849,226,326,725,08-Sep,0.31,w/willide01.html,463,24,984,68,73,24,195,willide01,0.518,2505,171,5069449,,,,,,0.23,2.4,0.16,6.5,16.5,0.573,1.5,8.1,0.6,21.1,1.1,1.9,24.7,47.8,4.3,0.39,1.8,-2.5,4.6,8.4
6,0,0.417,SF,3,2,Jawad Williams,CLE,12,0.5,1,0,2,0,,6,0,0,08-Sep,0.333,w/willija04.html,5,1,12,10,1,25,2,willija04,0.5,20,1,244463,,,,,,0.5,0,0.045,0,7.7,0.5,2.7,5.7,0,14.1,6.2,0,30.7,0,-2.1,0,-8.7,-6.7,6,0
624,0,0.398,SG,273,63,Lou Williams,PHI,1039,0.435,151,385,128,14,0.79,220,304,242,08-Sep,0.286,w/willilo02.html,336,36,844,81,85,22,165,willilo02,0.438,1919,129,4500000,,79,2005,185,Right,0.261,0.5,0.085,1.6,13,0.513,2.4,8.1,0.6,16.3,2.2,1.7,27.7,21.6,0.7,0.456,-0.9,-1.6,5.2,3.4
11,0,0.235,PG,2,2,Marcus Williams,GSW,12,0.294,4,6,6,1,0.333,6,2,13,08-Sep,0.333,w/willima03.html,4,0,17,9,1,23,4,willima03,0.182,54,4,1262520,University of Connecticut,92,2006,190,Left,0.353,-0.1,-0.127,-0.1,16.9,0.305,0.9,8.1,1.3,3.7,0,0,18.7,32.6,-6.7,0.353,-11.7,-4.9,4,-0.1
467,59,0.458,SF,230,55,Marvin Williams,ATL,845,0.502,70,273,127,39,0.806,155,220,81,08-Sep,0.355,w/willima02.html,285,110,622,61,57,22,382,willima02,0.493,2093,272,5636143,University of North Carolina,107,2005,206,Right,0.249,1.5,0.14,3.9,8.6,0.569,1.5,15.2,1.4,16,6.2,2.2,18.2,6.3,0.8,0.439,0.9,0.1,10.7,6.1
706,81,0.467,PG,343,183,Mo Williams,CLE,1443,0.548,179,228,215,9,0.912,420,208,329,08-Sep,0.436,w/willima01.html,526,47,1126,81,69,26,279,willima01,0.486,2834,232,8353000,University of Alabama,89,2003,185,Right,0.373,3.1,0.165,6.1,12.7,0.588,1.3,9.4,0.3,17.2,2.1,3.7,23.4,20.1,3,0.202,2.3,-0.7,5.9,9.8
72,0,0.417,PF,30,0,Sean Williams,NJN,80,0.417,20,32,72,29,0.625,0,20,13,08-Sep,,w/willise01.html,30,34,72,33,7,22,79,willise01,0.417,366,45,1522920,Boston College,106,2007,208,Right,0,0,0.036,-0.1,18.9,0.465,1,14.8,6.5,8.8,10.9,0.4,13.6,5.4,-4.8,0.444,-2.4,2.4,12.9,0.3
39,0,0.286,SF,15,1,Shawne Williams,DAL,42,0.295,5,11,19,9,0.818,17,9,2,08-Sep,0.059,w/willish03.html,16,19,56,15,2,22,46,willish03,0.385,170,27,1572960,University of Memphis,102,2006,206,Right,0.304,-0.2,-0.012,-0.2,7.6,0.345,0.6,18.1,3.9,7.5,13,0.2,17.8,1.7,-5.8,0.196,-7.4,-1.6,15.5,0
155,0,0.446,PF,70,0,Shelden Williams,TOT,186,0.446,34,63,64,18,0.73,2,46,12,08-Sep,0,w/willish02.html,70,49,157,45,22,25,153,willish02,0.452,512,104,3395760,Duke University,113,2006,206,Right,0.013,-0.4,0.048,0,15.5,0.503,2.2,24.3,2.7,13.7,10.9,0.5,19.2,3.8,-4.7,0.401,-5.4,-0.7,17.5,0.5
654,55,0.401,SF,263,153,Metta World Peace,HOU,1181,0.475,140,262,155,24,0.748,383,196,229,08-Sep,0.399,a/artesro01.html,416,65,1037,69,105,29,359,artesro01,0.402,2452,294,7400000,St. John's University,117,1999,198,Right,0.369,2.7,0.108,1.6,10.8,0.512,2.3,13.4,0.7,15.6,3.2,4,24.5,16.2,1.1,0.253,2.3,1.2,8.5,5.5
282,53,0.415,SF,134,45,Antoine Wright,DAL,474,0.468,54,95,172,27,0.747,149,71,77,08-Sep,0.302,w/wrighan01.html,179,31,431,65,46,24,136,wrighan01,0.475,1552,105,1800000,Texas A&M University,95,2005,201,Right,0.346,0.1,0.044,0.3,10.3,0.501,1.6,7.7,1.3,8.6,2.3,1.2,15.6,7.4,-1.6,0.22,-1.7,-0.1,5,1.4
242,23,0.528,PF,130,0,Brandan Wright,GSW,323,0.528,23,85,74,37,0.741,4,63,21,08-Sep,0,w/wrighbr03.html,130,62,246,39,22,21,157,wrighbr03,0.537,688,95,2497320,University of North Carolina,95,2007,208,Left,0.016,0.1,0.131,1.4,7.5,0.57,1.6,15,3.7,18.7,9.8,0.4,19,4.9,-0.2,0.346,-1.2,-0.9,12.4,1.9
20,0,0.4,SF,8,0,Dorell Wright,MIA,18,0.4,6,6,8,0,0.333,0,2,2,08-Sep,,w/wrighdo01.html,8,2,20,6,2,23,20,wrighdo01,0.4,73,18,2612835,,92,2005,206,Right,0,-0.2,-0.086,-0.2,20.9,0.398,1.5,29.8,0,3.7,3.3,0.1,18.4,4.2,-10.8,0.3,-12.1,-1.3,16.4,-0.1
213,19,0.466,SF,107,2,Julian Wright,NOH,237,0.47,43,30,49,19,0.567,21,17,43,08-Sep,0.095,w/wrighju01.html,109,46,234,54,35,21,152,wrighju01,0.502,772,106,1869600,,,,,,0.09,0,0.048,-0.4,14.8,0.479,2.5,16.6,2.1,12.6,7.2,1.2,18.1,9.4,-3.7,0.128,-2.1,1.6,11.9,0.8
27,2,0.37,C,10,0,Lorenzen Wright,CLE,23,0.37,9,8,17,5,0.375,0,3,3,08-Sep,,w/wrighlo02.html,10,7,27,17,4,33,25,wrighlo02,0.37,125,18,1262275,University of Memphis,102,1996,211,Right,0,-0.1,-0.022,-0.3,22.8,0.377,1.7,16.5,3.2,4,6.9,0.2,14.9,3.5,-8.4,0.296,-6.4,2,11.9,-0.1
592,5,0.444,SG,280,56,Nick Young,WAS,892,0.481,92,193,140,20,0.85,164,164,95,08-Sep,0.341,y/youngni01.html,336,31,756,82,39,23,150,youngni01,0.473,1837,119,1602960,University of Southern California,95,2007,201,Right,0.217,-1.3,0.03,1.2,9.9,0.53,1.1,7.8,0.9,13.1,1.9,-0.1,23.1,9,-1.1,0.255,-4.9,-3.8,4.8,1.2
796,71,0.495,PF,419,56,Thaddeus Young,PHI,1145,0.524,118,189,165,23,0.735,164,139,86,08-Sep,0.341,y/youngth01.html,475,139,960,75,100,20,377,youngth01,0.526,2580,238,1968120,Georgia Institute of Technology,100,2007,203,Left,0.171,1.7,0.102,3,10.2,0.549,2.1,11.1,0.7,15.3,6.4,2.5,20.5,5.8,0.8,0.197,0.5,-0.2,8.8,5.5
5,0,0.273,SG,3,0,Sun Yue,LAL,6,0.273,3,0,10,1,,6,0,2,08-Sep,0,y/yuesu01.html,3,0,11,10,1,23,0,yuesu01,0.6,28,0,442114,,92,2008,206,Left,0.545,-0.1,-0.226,-0.2,21.4,0.273,1.8,0,2.8,-8.6,0,0,22,9.8,-11.4,0,-15.2,-3.7,0,-0.1
