fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
271,22,0.459,PF,134,18,Quincy Acy,NYK,398,0.486,60,97,147,22,0.784,60,76,68,14/15,0.3,a/acyqu01.html,152,79,331,68,27,24,301,acyqu01,0.494,1287,222,915243,Baylor University,108,2012,201,Right,0.181,-0.3,0.063,1,13.8,0.533,1.1,20.5,1.4,11.9,6.9,0.7,15.5,8.7,-2.3,0.293,-3.1,-0.8,13.5,1.7
61,0,0.407,SG,25,10,Jordan Adams,MEM,94,0.465,14,23,24,7,0.609,25,14,16,14/15,0.4,a/adamsjo01.html,35,9,86,30,16,20,28,adamsjo01,0.41,248,19,1344120,"University of California, Los Angeles",94,2014,196,Right,0.291,0.1,0.073,0,12.7,0.489,3.4,8.7,2.3,12.8,4.2,0.4,20.4,10.1,-1.8,0.267,-0.6,1.2,6.4,0.4
397,67,0.544,C,217,0,Steven Adams,OKC,537,0.544,99,205,222,86,0.502,2,103,66,14/15,0,a/adamsst01.html,217,199,399,70,38,21,523,adamsst01,0.547,1771,324,2184960,University of Pittsburgh,115,2013,213,Right,0.005,1.1,0.111,1.9,16.8,0.549,1.1,19.3,3.8,14.1,12.2,2.2,14.3,5.5,-1.4,0.514,0.4,1.8,15.8,4.1
44,0,0.432,PF,19,0,Jeff Adrien,MIN,60,0.432,9,38,30,9,0.579,0,22,15,14/15,,a/adrieje01.html,19,23,44,17,4,28,77,adrieje01,0.432,215,54,981084,University of Connecticut,111,2010,201,Right,0,0,0.087,0.2,12.9,0.494,0.9,29.6,3.3,14.2,11.9,0.2,14.3,10.5,-2.7,0.864,-2.2,0.5,20.5,0.4
551,72,0.424,SG,257,118,Arron Afflalo,TOT,1035,0.491,116,198,167,7,0.843,333,167,129,14/15,0.354,a/afflaar01.html,375,27,884,78,41,29,247,afflaar01,0.466,2502,220,7750000,"University of California, Los Angeles",95,2007,196,Right,0.377,0.1,0.05,1.6,10.7,0.533,0.8,9.7,0.2,10.7,1.1,1,19,8.2,-0.5,0.224,-1.8,-1.3,5.3,2.6
329,8,0.55,C,181,0,Alexis Ajinca,NOP,443,0.55,69,99,151,51,0.818,0,81,47,14/15,,a/ajincal01.html,181,104,329,68,21,26,315,ajincal01,0.55,957,211,981084,,112,2008,218,Right,0,0.5,0.159,1.9,15.6,0.595,1.2,25,4,19.9,12.4,1.2,21.1,8.2,-0.5,0.301,0.2,0.6,18.7,3.2
73,9,0.513,PF,40,0,Furkan Aldemir,PHI,93,0.513,17,27,96,16,0.481,5,13,28,14/15,0,a/aldemfu01.html,40,78,78,41,17,23,176,aldemfu01,0.548,540,98,3000000,,108,2014,208,Right,0.064,0.2,0.122,0.7,15.9,0.517,1.6,20.7,2.4,12,14.9,0.7,8.6,8.3,-2.7,0.346,-0.7,2,17.7,1.4
301,16,0.478,C,144,0,Cole Aldrich,NYK,338,0.478,59,64,122,65,0.781,0,50,75,14/15,,a/aldrico01.html,144,101,301,61,37,26,338,aldrico01,0.478,976,237,981084,University of Kansas,113,2010,211,Right,0,0.7,0.107,0.8,15.2,0.513,2,28.9,5.5,18.1,11.6,1.4,18.3,13.3,-2.2,0.213,0.9,3.1,20,2.2
1310,71,0.466,PF,622,37,LaMarcus Aldridge,POR,1661,0.479,122,362,125,68,0.845,105,306,124,14/15,0.352,a/aldrila01.html,659,177,1415,71,48,29,726,aldrila01,0.475,2512,549,16006000,University of Texas at Austin,117,2006,211,Right,0.074,1.4,0.165,4.9,7.2,0.528,1,22.9,1.9,22.8,7.7,3.7,30.2,9.2,0.3,0.256,0.3,0,15.5,8.6
299,0,0.472,C,141,0,Lavoy Allen,IND,315,0.472,40,47,102,42,0.702,0,33,73,14/15,,a/allenla01.html,141,123,299,63,15,25,323,allenla01,0.472,1070,200,948163,Temple University,117,2012,206,Right,0,0.8,0.127,1.3,11.1,0.493,0.7,20.5,3.1,14.9,12.8,1.6,15.2,10.9,-1.4,0.157,0.8,2.2,16.7,2.8
