fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
16,0,0.438,PF,7,0,Jeff Adrien,HOU,21,0.438,2,12,13,2,0.583,0,7,1,11-Dec,,a/adrieje01.html,7,5,16,8,0,25,22,adrieje01,0.438,63,17,270427,University of Connecticut,111,2010,201,Right,0,-0.1,0.106,0.1,8.6,0.493,0,31.6,2.4,11.2,9.1,0.1,16.8,2.4,-5.4,0.75,-7.7,-2.3,20.3,0.1
478,62,0.471,SG,241,88,Arron Afflalo,DEN,943,0.534,85,247,134,13,0.798,221,197,149,11-Dec,0.398,a/afflaar01.html,329,40,699,62,36,26,197,afflaar01,0.504,2086,157,7562500,"University of California, Los Angeles",95,2007,196,Right,0.316,1.5,0.121,4.7,9.5,0.584,0.9,8.5,0.5,14.7,2.3,0.6,19.1,11.1,2.5,0.353,0.8,-1.6,5.5,5.3
36,0,0.361,C,13,0,Solomon Alabi,TOR,33,0.361,5,8,11,9,0.875,0,7,3,11-Dec,,a/alabiso01.html,13,15,36,14,2,23,47,alabiso01,0.361,122,32,830000,Florida State University,113,2010,216,Right,0,-0.1,0.083,0,11.2,0.418,0.9,30.4,6,14.2,14.6,0.2,17.2,4.1,-5.6,0.222,-4.1,1.5,22.6,0.2
42,0,0.524,C,22,0,Cole Aldrich,OKC,57,0.524,9,14,22,16,0.929,0,13,3,11-Dec,,a/aldrico01.html,22,13,42,26,8,23,48,aldrico01,0.524,173,35,2286000,University of Kansas,113,2010,211,Right,0,0.1,0.176,0.3,15.7,0.592,2.4,21.6,6.7,17.7,9.2,0.4,14.9,2.7,-2.4,0.333,0.3,2.7,15.8,0.6
932,55,0.512,PF,481,2,LaMarcus Aldridge,POR,1191,0.513,111,274,153,45,0.814,11,223,134,11-Dec,0.182,a/aldrila01.html,483,150,943,55,51,26,442,aldrila01,0.516,1994,292,12372000,University of Texas at Austin,117,2006,211,Right,0.012,2.2,0.169,5.4,9.5,0.56,1.3,17.5,1.7,22.7,8.6,1.6,27,13.2,2.7,0.291,2.4,-0.2,12.9,7
167,15,0.473,PF,79,0,Lavoy Allen,PHI,169,0.473,20,14,73,18,0.786,0,11,34,11-Dec,,a/allenla01.html,79,47,167,41,13,22,171,allenla01,0.473,624,124,473604,Temple University,117,2012,206,Right,0,0.1,0.124,0.4,10.4,0.488,1.1,22.2,2.2,12.7,8.3,1.2,14.5,8.4,-3.1,0.084,-1.3,1.8,15.2,1.6
259,42,0.458,SG,120,106,Ray Allen,BOS,655,0.566,68,106,83,8,0.915,234,97,109,11-Dec,0.453,a/allenra02.html,226,14,493,46,49,36,142,allenra02,0.463,1565,128,10000000,University of Connecticut,92,1996,196,Right,0.475,1.8,0.145,2.5,11.2,0.607,1.7,9.2,0.4,14.8,1.1,2.2,18.6,11.8,2.4,0.215,2.6,0.3,5.3,4.7
422,57,0.469,SG,202,8,Tony Allen,MEM,568,0.478,94,175,142,33,0.8,26,140,79,11-Dec,0.308,a/allento01.html,210,98,448,58,104,30,233,allento01,0.479,1525,135,3150000,Oklahoma State University,96,2004,193,Right,0.058,1.7,0.131,1.7,15.2,0.541,3.6,10.6,1.8,15.7,7.4,2.5,18.4,8.3,0,0.391,2.5,2.5,8.9,4.2
318,21,0.411,SF,137,13,Al-Farouq Aminu,NOH,399,0.429,91,114,136,34,0.754,47,86,66,11-Dec,0.277,a/aminual01.html,150,95,365,66,59,21,308,aminual01,0.431,1477,213,2755560,,,,,,0.129,0.2,0.044,-0.4,18,0.481,2.2,16.9,1.9,10.6,7.8,1.8,16.2,7.2,-3,0.312,-1.3,1.6,12.4,1.4
207,0,0.43,PF,89,0,Lou Amundson,IND,213,0.43,45,82,125,44,0.427,0,35,14,11-Dec,,a/amundlo01.html,89,94,207,60,27,29,222,amundlo01,0.43,753,128,2403000,"University of Nevada, Las Vegas",99,2007,206,Right,0,-0.1,0.062,-0.3,15.6,0.438,1.9,19,4.6,11.5,14.1,1.3,17.3,3,-3.9,0.396,-2.7,1.2,16.6,1
108,1,0.546,C,59,0,Chris Andersen,DEN,168,0.546,17,82,52,46,0.61,0,50,6,11-Dec,,a/anderch01.html,59,48,108,32,19,33,148,anderch01,0.546,486,100,4234000,Blinn College,111,2001,208,Right,0,0.4,0.183,1,10.6,0.583,2,23.3,7.4,18.9,11.9,0.8,14.8,1.8,-1.2,0.759,1.4,2.6,17.8,1.9
106,2,0.379,SG,47,19,James Anderson,SAS,190,0.434,30,52,35,2,0.75,68,39,41,11-Dec,0.279,a/anderja01.html,66,16,174,51,8,22,79,anderja01,0.443,603,63,1463520,,,,,,0.391,-0.2,0.04,0.1,13.2,0.483,0.7,11.8,0.2,8.8,3.1,0.4,17.2,9.6,-2.2,0.299,-3.6,-1.4,7.5,0.5
335,61,0.439,PF,166,166,Ryan Anderson,ORL,980,0.548,57,171,146,26,0.877,422,150,54,11-Dec,0.393,a/anderry01.html,332,224,757,61,50,23,471,anderry01,0.496,1964,247,2244601,,,,,,0.557,3.3,0.219,7,6.4,0.589,1.4,14.7,1,21.2,13,1.9,21.2,5.1,5.9,0.226,4.6,-1.3,13.8,8.9
822,55,0.43,SF,373,68,Carmelo Anthony,NYK,1245,0.463,144,367,156,24,0.804,203,295,200,11-Dec,0.335,a/anthoca01.html,441,88,1025,55,62,27,344,anthoca01,0.454,1876,256,18518574,Syracuse University,108,2003,203,Right,0.198,2.3,0.16,3.7,10.8,0.525,1.7,15.9,1,21.1,5.4,2.6,31.8,21,2.9,0.358,2.9,0,10.6,6.2
152,51,0.559,C,85,0,Joel Anthony,MIA,219,0.559,45,71,126,84,0.69,0,49,9,11-Dec,,a/anthojo01.html,85,100,152,64,36,29,250,anthojo01,0.559,1349,150,3600000,"University of Nevada, Las Vegas",111,2007,206,Left,0,0.9,0.122,1.2,19.7,0.598,1.4,12.8,5.1,10.3,9.2,2.2,7.8,1,-2.1,0.467,0.7,2.8,11.1,3.4
25,0,0.406,PG,13,13,Gilbert Arenas,MEM,72,0.508,12,10,35,1,0.7,39,7,18,11-Dec,0.333,a/arenagi01.html,26,2,64,17,11,30,18,arenagi01,0.52,211,16,19269307,University of Arizona,86,2001,190,Right,0.609,0.1,0.088,0.1,14.9,0.526,2.8,9,0.4,9.9,1.1,0.3,17.3,13.4,-0.2,0.156,-0.9,-0.7,5,0.4
316,41,0.417,SF,139,29,Trevor Ariza,NOH,444,0.453,76,102,73,25,0.775,87,79,135,11-Dec,0.333,a/arizatr01.html,168,41,403,41,69,26,215,arizatr01,0.44,1350,174,6790640,"University of California, Los Angeles",97,2004,203,Right,0.216,1.3,0.078,0.5,14.5,0.496,2.8,15.1,1.5,14.2,3.7,1.7,18.4,16.8,-0.3,0.253,1.8,2.2,9.5,2.2
156,2,0.506,C,79,0,Omer Asik,CHI,205,0.506,68,103,121,68,0.456,0,47,32,11-Dec,,a/asikom01.html,79,127,156,66,30,25,350,asikom01,0.506,971,223,1857500,,115,2010,213,Right,0,0.8,0.129,0.1,25.2,0.509,1.7,25.1,5,13.4,14.9,2.5,12.6,4.8,-3.3,0.66,1.1,4.4,20.1,2.6
308,46,0.376,PG,122,61,D.J. Augustin,CHA,532,0.438,110,120,65,1,0.875,179,105,307,11-Dec,0.341,a/augusdj01.html,183,24,487,48,36,24,109,augusdj01,0.396,1408,85,3236470,University of Texas at Austin,83,2008,183,Right,0.368,-0.6,0.018,0.7,16.9,0.493,1.3,7.2,0.1,14.1,1.9,-0.2,21.3,38.9,0.8,0.246,-3.6,-4.4,4.4,0.5
260,24,0.536,PF,140,0,Gustavo Ayon,NOH,319,0.536,46,63,118,46,0.619,1,39,74,11-Dec,0,a/ayongu01.html,140,86,261,54,53,26,265,ayongu01,0.538,1088,179,1567500,,113,2012,208,Right,0.004,1.5,0.142,1.5,13.7,0.552,2.6,19.3,3.5,16.7,9.6,1.7,14.5,11.5,-0.1,0.241,3.4,3.5,14.5,3.2
36,1,0.417,C,15,0,Jeff Ayres,IND,34,0.417,2,7,16,2,0.571,0,4,4,11-Dec,,p/pendeje02.html,15,12,36,20,3,24,33,pendeje02,0.417,106,21,1500000,Arizona State University,108,2009,206,Right,0,0,0.115,0.1,4.9,0.435,1.5,22.1,1.5,13.4,12.8,0.2,17.6,6.3,-2.3,0.194,-3.2,-0.8,17.5,0.3
73,4,0.41,SF,28,43,Luke Babbitt,POR,202,0.535,27,20,46,4,0.85,100,17,16,11-Dec,0.43,b/babbilu01.html,71,16,173,40,10,22,95,babbilu01,0.384,537,79,1768800,"University of Nevada, Reno",102,2010,206,Right,0.578,-0.2,0.064,0.4,12.9,0.556,1,17.5,0.6,11.3,3.4,0.3,17.8,4.8,-0.9,0.116,-3.4,-2.5,10.3,0.7
23,0,0.5,SF,14,2,Renaldo Balkman,NYK,42,0.531,6,11,14,3,0.727,9,8,5,11-Dec,0.222,b/balkmre01.html,16,6,32,14,4,27,26,balkmre01,0.609,115,20,1675000,University of South Carolina,94,2006,203,Right,0.281,0,0.142,0.1,14,0.57,1.8,20.3,2.1,14.3,6,0.2,16.7,7.2,-1.7,0.344,-1,0.7,13.1,0.3
467,0,0.425,SG,206,65,Leandro Barbosa,TOT,708,0.476,94,124,135,7,0.815,170,101,96,11-Dec,0.382,b/barbole01.html,271,33,637,64,56,29,128,barbole01,0.441,1382,95,7600000,,87,2003,190,Right,0.267,0,0.06,0.5,12,0.512,2.2,7.9,0.4,14,2.8,1.2,26.5,13.3,0,0.195,-2,-2,5.3,1.7
