fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
336,75,0.465,SG,164,108,Arron Afflalo,DEN,724,0.557,74,98,225,30,0.735,249,72,138,09-Oct,0.434,a/afflaar01.html,272,59,585,82,46,24,252,afflaar01,0.488,2221,193,1086240,"University of California, Los Angeles",95,2007,196,Right,0.426,1.3,0.092,2.8,10.5,0.576,1,9.9,1,10.9,3.1,1.4,14,9.3,0.8,0.168,0.3,-0.5,6.5,4.3
10,0,0.5,C,5,0,Alexis Ajinca,CHA,10,0.5,2,1,5,1,0,0,0,0,09-Oct,,a/ajincal01.html,5,1,10,6,1,21,4,ajincal01,0.5,30,3,1372080,,112,2008,218,Right,0,-0.1,-0.013,-0.1,16.1,0.479,1.8,11.8,2.7,6.3,4.1,0,19.3,0,-8.5,0.1,-10.4,-2,8,0
1153,78,0.495,PF,574,5,LaMarcus Aldridge,POR,1393,0.497,104,304,231,48,0.757,16,230,160,09-Oct,0.313,a/aldrila01.html,579,192,1169,78,67,24,627,aldrila01,0.498,2922,435,5844827,University of Texas at Austin,117,2006,211,Right,0.014,2.6,0.145,5.5,7.4,0.535,1.3,18.6,1.3,18.2,8.1,3.3,22.9,9.9,0.9,0.26,1.6,0.6,13.3,8.8
5,0,0.167,SF,1,0,Joe Alexander,CHI,4,0.167,0,3,9,1,0.667,1,2,2,09-Oct,0,a/alexajo01.html,1,2,6,8,1,23,5,alexajo01,0.2,29,3,2583360,West Virginia University,104,2008,203,Right,0.167,0,0.03,0,0,0.273,1.8,11.3,2.6,2.8,7.8,0,11.3,9.3,-5.2,0.5,-3.7,1.5,9.6,0
110,3,0.397,PF,45,1,Malik Allen,DEN,105,0.401,22,13,68,5,0.923,6,12,16,09-Oct,0.167,a/allenma01.html,46,36,116,51,11,31,82,allenma01,0.409,456,46,1300000,Villanova University,115,2001,208,Right,0.052,-0.3,0.009,-0.3,15.3,0.431,1.2,11.5,0.8,5.9,9.2,0.3,14,5.1,-4.2,0.112,-5,-0.8,10.4,0.1
574,80,0.477,SG,319,145,Ray Allen,BOS,1304,0.551,129,253,182,25,0.913,399,231,210,09-Oct,0.363,a/allenra02.html,464,45,973,80,64,34,253,allenra02,0.556,2819,208,18776860,University of Connecticut,92,1996,196,Right,0.41,2.6,0.135,5.1,10.6,0.601,1.2,8.8,0.7,15.2,2,2.9,20.2,12.3,2.3,0.26,1.7,-0.7,5.5,7.9
248,8,0.51,SG,129,0,Tony Allen,BOS,330,0.51,66,119,109,19,0.605,5,72,72,09-Oct,0,a/allento01.html,129,52,253,54,59,28,145,allento01,0.52,889,93,2500000,Oklahoma State University,96,2004,193,Right,0.02,0.6,0.1,0.2,17.8,0.54,3.5,12.5,1.7,14.2,7.4,1.6,19.6,13,-1.8,0.47,0.8,2.6,10,1.9
278,38,0.348,PG,97,58,Rafer Alston,TOT,427,0.413,95,81,103,10,0.728,168,59,176,09-Oct,0.345,a/alstora01.html,155,13,446,52,50,33,129,alstora01,0.349,1421,116,753133,"California State University, Fresno",77,2000,188,Right,0.377,-0.6,-0.013,-1.6,16.5,0.443,1.9,9.7,0.5,8.2,1,1.2,18.8,20.2,-2.9,0.182,-3.7,-0.8,5.3,-0.4
275,0,0.551,PF,152,0,Lou Amundson,PHO,371,0.551,57,123,169,73,0.545,1,67,31,09-Oct,0,a/amundlo01.html,152,128,276,79,24,27,346,amundlo01,0.553,1168,218,855189,"University of Nevada, Las Vegas",99,2007,206,Right,0.004,0.7,0.118,1.5,14.7,0.562,1,19.9,4.4,14.4,13.1,1.3,14.6,3.7,-1,0.446,0.4,1.4,16.7,2.9
248,0,0.566,PF,142,0,Chris Andersen,DEN,448,0.566,59,236,171,143,0.695,3,164,33,09-Oct,0,a/anderch01.html,142,147,251,76,42,31,483,anderch01,0.573,1695,336,3650000,Blinn College,111,2001,208,Right,0.012,1.8,0.166,3.2,14.3,0.631,1.3,22.7,6.3,15.8,10.1,2.7,10.8,2.8,-1.1,0.94,2.1,3.3,16.4,5.9
262,0,0.432,C,120,27,David Andersen,HOU,367,0.472,37,67,119,12,0.687,78,46,44,09-Oct,0.346,a/anderda03.html,147,54,340,63,15,29,208,anderda03,0.458,891,154,2300000,,111,2009,211,Right,0.229,-0.4,0.07,0.4,9.1,0.497,0.9,20.6,1,12.1,6.7,0.9,20.2,8.1,-2.5,0.197,-3.8,-1.3,13.4,1.3
177,6,0.436,PF,91,78,Ryan Anderson,ORL,487,0.536,56,82,81,14,0.866,211,71,37,09-Oct,0.37,a/anderry01.html,169,70,388,63,25,21,202,anderry01,0.514,911,132,1317120,,,,,,0.544,0.8,0.161,1.7,11.7,0.574,1.4,16.2,1.1,18.1,9.2,1.4,24.4,7.1,2.3,0.211,1.3,-1,12.8,3.1
