fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
54,0,0.426,PF,23,0,Jeff Adrien,GSW,57,0.426,9,19,28,5,0.579,0,11,10,10-Nov,,a/adrieje01.html,23,23,54,23,4,24,58,adrieje01,0.426,196,35,342666,University of Connecticut,111,2010,201,Right,0,-0.2,0.051,0.1,12.6,0.457,1,20.7,1.9,11.3,13,0.1,16.1,7.3,-3.9,0.352,-5.1,-1.2,16.8,0.2
379,69,0.498,SG,207,105,Arron Afflalo,DEN,867,0.581,71,163,153,31,0.847,248,138,168,10-Nov,0.423,a/afflaar01.html,312,45,627,69,34,25,251,afflaar01,0.546,2324,206,1959577,"University of California, Los Angeles",95,2007,196,Right,0.396,2.4,0.128,4.8,9.2,0.62,0.7,9.9,1,13.6,2.3,1.4,14.8,10.9,2.4,0.26,2.1,-0.2,6.2,6.2
7,0,0.545,SG,3,3,Maurice Ager,MIN,15,0.682,4,0,4,0,,4,0,1,10-Nov,0.75,a/agerma01.html,6,0,11,4,1,26,2,agerma01,0.429,29,2,83305,Michigan State University,91,2006,196,Right,0.364,0,-0.015,0,26.7,0.682,1.7,7.9,0,10.1,0,0,22,6,-2.7,0,-6.3,-3.6,3.8,0
99,2,0.444,C,47,12,Alexis Ajinca,TOT,143,0.489,18,18,73,19,0.722,34,13,10,10-Nov,0.353,a/ajincal01.html,59,17,133,34,11,22,78,ajincal01,0.475,340,61,1467840,,112,2008,218,Right,0.256,-0.1,0.052,0,11.3,0.507,1.7,21.5,4.2,12.2,5.9,0.4,21.1,4.8,-3.1,0.135,-3.4,-0.3,13.6,0.4
15,0,0.2,C,3,0,Solomon Alabi,TOR,6,0.2,3,2,5,2,0,0,0,2,10-Nov,,a/alabiso01.html,3,7,15,12,2,22,14,alabiso01,0.2,59,7,770000,Florida State University,113,2010,216,Right,0,-0.1,-0.142,-0.2,15.9,0.189,1.8,14.4,2.6,2,13.7,0,14.3,4.6,-8.2,0.133,-8.2,0,14.1,-0.2
15,0,0.533,C,8,0,Cole Aldrich,OKC,18,0.533,8,4,30,7,0.5,0,2,4,10-Nov,,a/aldrico01.html,8,13,15,18,5,22,35,aldrico01,0.533,142,22,2126520,University of Kansas,113,2010,211,Right,0,0,0.066,0,32.3,0.537,1.8,17.5,3.6,7,11.1,0.2,7.9,4,-3.4,0.267,-0.8,2.6,14.4,0.2
1392,81,0.5,PF,703,4,LaMarcus Aldridge,POR,1769,0.501,153,444,220,94,0.791,23,351,170,10-Nov,0.174,a/aldrila01.html,707,278,1415,81,82,25,709,aldrila01,0.505,3211,431,11244000,University of Texas at Austin,117,2006,211,Right,0.016,3.5,0.166,7.6,8.7,0.549,1.4,17.2,2.4,21.5,10.1,3.5,25.7,10.1,1.9,0.314,2.4,0.5,13.5,11.1
31,0,0.355,PF,11,0,Malik Allen,ORL,23,0.355,3,2,30,4,0.5,0,1,4,10-Nov,,a/allenma01.html,11,12,31,18,1,32,32,allenma01,0.355,178,20,1229255,Villanova University,115,2001,208,Right,0,-0.1,0.046,-0.1,8.6,0.361,0.3,12.8,1.7,3.3,8.1,0.2,9.1,3.3,-5.3,0.065,-3.9,1.4,10.5,0.2
600,80,0.491,SG,312,168,Ray Allen,BOS,1321,0.577,117,219,147,16,0.881,378,193,219,10-Nov,0.444,a/allenra02.html,480,51,978,80,77,35,274,allenra02,0.52,2890,223,10000000,University of Connecticut,92,1996,196,Right,0.387,4.1,0.166,5.8,9.8,0.615,1.4,9,0.4,16.4,2.3,4.2,19.8,12.7,3.2,0.224,3.6,0.4,5.8,10
469,31,0.51,SG,247,4,Tony Allen,MEM,643,0.514,86,182,161,44,0.753,23,137,104,10-Nov,0.174,a/allento01.html,251,70,492,72,129,29,193,allento01,0.527,1494,123,3000000,Oklahoma State University,96,2004,193,Right,0.047,2.1,0.152,2,13.1,0.562,4.5,9.9,2.4,18.3,5.5,2.7,19.9,10.9,0.7,0.37,3.6,2.9,7.7,4.7
263,14,0.394,SF,115,45,Al-Farouq Aminu,LAC,457,0.45,103,119,121,25,0.773,143,92,60,10-Nov,0.315,a/aminual01.html,160,75,406,81,59,20,267,aminual01,0.437,1452,192,2563320,,,,,,0.352,-0.4,0.022,-0.8,18.3,0.499,2.1,15.4,1.3,9.6,6.1,1.4,17.3,6.4,-3.1,0.293,-3,0.1,10.8,0.7
183,7,0.454,PF,83,0,Lou Amundson,GSW,200,0.454,24,87,87,33,0.391,0,34,17,10-Nov,,a/amundlo01.html,83,81,183,46,14,28,185,amundlo01,0.454,691,104,2225000,"University of Nevada, Las Vegas",99,2007,206,Right,0,-0.5,0.044,0.2,9.8,0.452,1,17.4,3.6,11.5,13,0.5,15.7,3.5,-4,0.475,-4.9,-0.9,15.2,0.6
136,0,0.599,C,82,0,Chris Andersen,DEN,250,0.599,25,135,79,58,0.637,1,86,20,10-Nov,0,a/anderch01.html,82,75,137,45,23,32,219,anderch01,0.603,732,144,4533300,Blinn College,111,2001,208,Right,0.007,1,0.207,1.9,11.3,0.636,1.6,22.1,6,19,12.2,1.2,13.5,4,0.2,0.985,3.3,3.1,17.3,3.2
98,0,0.463,PF,48,8,David Andersen,TOT,134,0.496,22,22,40,9,0.636,23,14,13,10-Nov,0.348,a/anderda03.html,56,20,121,40,5,30,84,anderda03,0.49,373,64,2500000,,111,2009,211,Right,0.19,-0.3,0.032,-0.1,14.4,0.513,0.7,21,2,10.9,6.4,0.3,19.1,5.6,-4,0.182,-5.3,-1.3,13.6,0.3
35,2,0.383,SF,13,18,James Anderson,SAS,94,0.494,13,18,24,6,0.778,46,14,18,10-Nov,0.391,a/anderja01.html,31,2,81,26,3,21,23,anderja01,0.371,286,21,1361400,,,,,,0.568,-0.1,0.051,0.1,12.8,0.529,0.5,8.3,1.5,8.5,0.8,0.2,16.4,9.2,-1.9,0.222,-3.4,-1.5,4.7,0.3
184,14,0.43,PF,92,134,Ryan Anderson,ORL,681,0.558,49,117,137,38,0.812,341,95,52,10-Nov,0.393,a/anderry01.html,226,129,525,64,30,22,355,anderry01,0.5,1424,226,1409040,,,,,,0.65,2.3,0.216,4,7.8,0.591,1.1,18.1,2.1,19,10.8,2.5,20.4,6.2,4.1,0.223,4.4,0.2,14.5,6.4
1252,77,0.455,SF,589,95,Carmelo Anthony,TOT,1970,0.487,206,605,224,46,0.838,251,507,221,10-Nov,0.378,a/anthoca01.html,684,118,1503,77,68,26,563,anthoca01,0.47,2751,445,17149243,Syracuse University,108,2003,203,Right,0.167,1.8,0.138,5.4,10.4,0.557,1.2,18.3,1.3,21.7,5,2.5,32,14.7,1.8,0.403,0.5,-1.3,11.8,7.9
99,11,0.535,C,53,0,Joel Anthony,MIA,153,0.535,36,73,194,93,0.644,0,47,24,10-Nov,,a/anthojo01.html,53,104,99,75,10,28,266,anthojo01,0.535,1463,162,3300000,"University of Nevada, Las Vegas",111,2007,206,Left,0,1.1,0.107,1.2,21.5,0.583,0.4,12.4,5,7.3,9,2.1,5.3,2.2,-2.2,0.737,0.9,3.1,10.8,3.3
407,16,0.366,PG,172,97,Gilbert Arenas,TOT,755,0.433,177,153,188,21,0.784,327,120,274,10-Nov,0.297,a/arenagi01.html,269,22,734,70,74,29,189,arenagi01,0.423,1796,167,17730694,University of Arizona,86,2001,190,Right,0.446,0.2,0.014,-1.6,18.1,0.471,2.1,10.7,0.9,10.8,1.4,2.2,24.7,25.3,-1.2,0.208,-1.5,-0.2,6.1,0.5
