fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
631,49,0.503,PF,322,15,Shareef Abdur-Rahim,POR,909,0.514,117,254,150,26,0.866,39,220,111,04-May,0.385,a/abdursh01.html,337,123,670,54,49,28,392,abdursh01,0.51,1867,269,14625000,University of California,102,1996,206,Right,0.058,1.3,0.139,3.9,13,0.581,1.4,16,1,18.7,7.9,1.5,22.1,10.7,1.4,0.379,0.8,-0.5,12.1,5.4
177,1,0.475,PF,84,0,Malik Allen,TOT,194,0.475,18,28,53,22,0.929,0,26,18,04-May,,a/allenma01.html,84,40,177,36,9,26,99,allenma01,0.475,519,59,1950625,Villanova University,115,2001,208,Right,0,0,0.1,0.6,8.7,0.512,0.9,13.3,3.2,14.2,9,0.5,18.1,5.7,-2,0.158,-2.3,-0.3,11,1.1
938,78,0.428,SG,431,209,Ray Allen,SEA,1867,0.498,171,428,167,5,0.883,556,378,289,04-May,0.376,a/allenra02.html,640,79,1494,78,84,29,347,allenra02,0.459,3064,268,14625000,University of Connecticut,92,1996,196,Right,0.372,4.4,0.168,9.7,9.2,0.555,1.5,10.7,0.1,20.9,3.2,1,28,18.1,5.6,0.286,3.7,-1.9,6.9,10.7
356,34,0.475,SG,172,12,Tony Allen,BOS,492,0.491,77,152,156,24,0.737,31,112,64,04-May,0.387,a/allento01.html,184,85,387,77,76,23,221,allento01,0.483,1262,136,901920,Oklahoma State University,96,2004,193,Right,0.08,0.6,0.103,1.2,14.5,0.542,3.1,12.3,1.4,14.7,8,1.6,18.9,8.2,-0.7,0.393,-0.1,0.6,10.2,2.7
585,78,0.414,PG,264,139,Rafer Alston,TOR,1136,0.485,170,258,212,7,0.74,389,191,514,04-May,0.357,a/alstora01.html,403,42,974,80,118,28,279,alstora01,0.451,2717,237,3500000,"California State University, Fresno",77,2000,188,Right,0.399,2.4,0.098,3.8,13.5,0.522,2.2,10.1,0.2,16.5,1.7,1.7,21.2,31.7,2.6,0.265,1.5,-1.2,5.8,5.5
355,2,0.534,C,191,0,Chris Andersen,NOH,513,0.534,64,190,144,100,0.689,3,131,71,04-May,0,a/anderch01.html,191,137,358,67,14,26,410,anderch01,0.538,1430,273,1600000,Blinn College,111,2001,208,Right,0.008,1.2,0.152,2.7,12.7,0.581,0.5,23.6,5.6,18.5,10.9,1.8,16.4,9.1,-1.1,0.531,1.2,2.4,17,4.5
240,32,0.389,SG,94,58,Derek Anderson,POR,432,0.463,70,87,89,4,0.805,151,70,143,04-May,0.384,a/anderde01.html,152,25,391,47,36,30,128,anderde01,0.392,1239,103,8443500,University of Kentucky,87,1997,196,Right,0.386,0,0.052,0.7,14,0.503,1.6,9.2,0.2,11.7,2.4,0.6,18.5,18.9,-0.3,0.223,-2.1,-1.8,6,1.3
188,20,0.423,PG,79,6,Kenny Anderson,TOT,203,0.438,49,37,87,0,0.73,13,27,103,04-May,0.462,a/anderke01.html,85,24,201,43,33,34,88,anderke01,0.42,743,64,1100000,Georgia Institute of Technology,76,1991,183,Left,0.065,-0.4,0.011,-0.1,18.4,0.467,2.3,10.5,0,10.1,3.6,0.3,16.1,22.2,-2.9,0.184,-4.4,-1.5,6.9,0.2
188,5,0.452,SF-SG,93,5,Shandon Anderson,TOT,255,0.463,50,66,138,14,0.818,29,54,70,04-May,0.172,a/andersh01.html,98,41,217,66,40,31,191,andersh01,0.495,1171,150,873699,University of Georgia,94,1996,198,Right,0.134,0.3,0.085,0.5,16.9,0.518,1.8,14.4,0.9,9,4.3,1.6,11.8,8.7,-2.5,0.304,-1,1.4,9.5,2.1
1072,75,0.431,SF,488,42,Carmelo Anthony,DEN,1558,0.448,224,573,229,30,0.796,158,456,194,04-May,0.266,a/anthoca01.html,530,141,1230,75,68,20,426,anthoca01,0.455,2608,285,3471360,Syracuse University,108,2003,203,Right,0.128,0.5,0.09,2.3,13.1,0.526,1.3,12.5,0.9,16.7,6.3,2.6,29.2,13.1,0.1,0.466,-1.2,-1.3,9.4,4.9
