fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
610,30,0.525,PF,327,5,Shareef Abdur-Rahim,SAC,887,0.529,108,278,227,42,0.784,22,218,149,05-Jun,0.227,a/abdursh01.html,332,106,632,72,48,29,357,abdursh01,0.536,1961,251,5000000,University of California,102,1996,206,Right,0.035,1.4,0.152,4,12.5,0.588,1.3,14.8,1.6,17.2,6.4,2.2,20.1,13.2,0.4,0.44,0.9,0.4,10.6,6.2
11,0,0.25,SG,3,1,Alex Acker,DET,9,0.281,4,0,4,0,,5,0,4,05-Jun,0.2,a/ackeral01.html,4,1,16,5,1,23,5,ackeral01,0.273,35,4,398762,Pepperdine University,83,2006,196,Right,0.313,-0.1,-0.23,-0.2,20,0.281,1.6,13.7,0,-2.4,3.4,0,27.2,17.9,-10.4,0,-12.3,-1.9,8.5,-0.2
246,20,0.49,PF,120,1,Malik Allen,CHI,266,0.492,34,38,92,16,0.605,1,23,20,05-Jun,1,a/allenma01.html,121,44,247,54,14,27,140,allenma01,0.488,701,96,1670000,Villanova University,115,2001,208,Right,0.004,-0.3,0.068,0,11.4,0.504,1,15.7,1.8,11.5,7.2,1,19.2,4.9,-3.9,0.154,-3.9,0,11.5,1
847,78,0.454,SG,412,269,Ray Allen,SEA,1955,0.544,188,359,151,16,0.903,653,324,286,05-Jun,0.412,a/allenra02.html,681,71,1500,78,105,30,332,allenra02,0.486,3022,261,13223140,University of Connecticut,92,1996,196,Right,0.435,4.2,0.15,9.8,10.2,0.59,1.8,10.6,0.4,22.2,2.8,-0.3,27.4,17.2,6.7,0.239,3.6,-3.1,6.6,9.5
240,9,0.471,PG,118,11,Tony Allen,BOS,369,0.491,67,134,126,18,0.746,34,100,67,05-Jun,0.324,a/allento01.html,129,32,274,51,51,24,111,allento01,0.492,978,79,969696,Oklahoma State University,96,2004,193,Right,0.124,0.2,0.082,0.6,16.8,0.554,2.7,9.6,1.4,12.9,4.1,1,18.8,11.2,-1.6,0.489,-1.4,0.2,6.9,1.7
426,63,0.379,PG,178,102,Rafer Alston,HOU,761,0.449,157,143,194,15,0.692,312,99,425,05-Jun,0.327,a/alstora01.html,280,36,738,63,101,29,255,alstora01,0.418,2431,219,3850000,"California State University, Fresno",77,2000,188,Right,0.423,1.7,0.067,0.2,16.4,0.475,2.3,10.4,0.5,12.6,1.8,3.1,18.8,30.8,0.1,0.194,0.8,0.7,6.1,3.4
98,2,0.571,C,56,0,Chris Andersen,NOK,161,0.571,26,103,84,41,0.476,0,49,6,05-Jun,,a/anderch01.html,56,61,98,32,8,27,155,anderch01,0.571,570,94,3500000,Blinn College,111,2001,208,Right,0,0.1,0.112,0.6,15.4,0.562,0.8,20.2,5.9,14.1,12.4,0.7,13.9,1.7,-2.8,1.051,-1.5,1.3,16.2,1.3
123,7,0.414,SF,51,24,Alan Anderson,CHA,207,0.481,32,41,48,4,0.805,58,33,32,05-Jun,0.414,a/anderal01.html,75,23,181,36,11,23,70,anderal01,0.415,564,47,398762,,,,,,0.32,-0.2,0.037,0.2,13.9,0.52,1,10.3,0.6,10.4,4.4,0.3,18.2,9.3,-1.9,0.227,-3.7,-1.8,7.2,0.4
169,11,0.356,SG,68,40,Derek Anderson,TOT,349,0.422,54,111,98,6,0.838,134,93,101,05-Jun,0.299,a/anderde01.html,108,21,303,43,23,31,143,anderde01,0.402,1047,122,1670000,University of Kentucky,87,1997,196,Right,0.442,0.1,0.074,0.5,13.3,0.496,1.2,13.3,0.5,10.8,2.4,1.1,18.2,15.7,-1.2,0.366,-1.5,-0.4,8,1.6
107,1,0.429,SF,49,5,Shandon Anderson,MIA,126,0.448,24,18,75,6,0.722,19,13,30,05-Jun,0.263,a/andersh01.html,54,18,126,48,17,32,81,andersh01,0.458,638,63,1035000,University of Georgia,94,1996,198,Right,0.151,-0.2,0.039,-0.1,15.2,0.47,1.4,11.1,0.7,6.2,3.5,0.7,11.4,6.9,-3.7,0.143,-3.3,0.4,7.5,0.5
